datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 17:00:09.123585,F3:B0:D4:A4:42:E0,-54,1711213209.1236043
2024-03-23 17:00:09.610964,FA:A5:6E:E8:3D:9C,-55,1711213209.610982
2024-03-23 17:00:11.013068,D7:AB:60:ED:B3:66,-68,1711213211.0130947
2024-03-23 17:00:11.995823,E4:02:B8:34:EC:F3,-52,1711213211.995851
-,-,-,-
2024-03-23 17:00:14.394901,E9:71:D6:A6:52:19,-55,1711213214.3949287
2024-03-23 17:00:19.624747,E9:71:D6:A6:52:19,-49,1711213219.6247747
2024-03-23 17:00:19.666950,FA:A5:6E:E8:3D:9C,-57,1711213219.666977
2024-03-23 17:00:20.180606,E4:02:B8:34:EC:F3,-43,1711213220.1806324
2024-03-23 17:00:21.256047,F3:B0:D4:A4:42:E0,-59,1711213221.2561228
-,-,-,-
2024-03-23 17:00:24.770986,D7:AB:60:ED:B3:66,-56,1711213224.7710125
2024-03-23 17:00:30.173566,E4:02:B8:34:EC:F3,-49,1711213230.1735945
2024-03-23 17:00:30.220667,F3:B0:D4:A4:42:E0,-48,1711213230.2206948
2024-03-23 17:00:30.720653,FA:A5:6E:E8:3D:9C,-47,1711213230.7206807
-,-,-,-
2024-03-23 17:00:32.979766,E9:71:D6:A6:52:19,-64,1711213232.9797935
2024-03-23 17:00:32.982491,D7:AB:60:ED:B3:66,-59,1711213232.982516
