datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 17:04:23.539901,E9:71:D6:A6:52:19,-55,1711213463.5399206
2024-03-23 17:04:24.098840,D7:AB:60:ED:B3:66,-83,1711213464.0988584
2024-03-23 17:04:24.267814,E4:02:B8:34:EC:F3,-57,1711213464.2678332
2024-03-23 17:04:24.380319,F3:B0:D4:A4:42:E0,-69,1711213464.3803382
-,-,-,-
2024-03-23 17:04:24.555650,E9:71:D6:A6:52:19,-65,1711213464.555668
2024-03-23 17:04:24.776887,FA:A5:6E:E8:3D:9C,-65,1711213464.7769055
2024-03-23 17:04:25.105140,D7:AB:60:ED:B3:66,-63,1711213465.1051579
2024-03-23 17:04:25.268239,E4:02:B8:34:EC:F3,-60,1711213465.268258
-,-,-,-
2024-03-23 17:04:25.408014,F3:B0:D4:A4:42:E0,-51,1711213465.4080338
2024-03-23 17:04:25.562292,E9:71:D6:A6:52:19,-68,1711213465.5623195
2024-03-23 17:04:25.900322,FA:A5:6E:E8:3D:9C,-66,1711213465.9003496
2024-03-23 17:04:26.112258,D7:AB:60:ED:B3:66,-64,1711213466.1122866
-,-,-,-
2024-03-23 17:04:26.386896,F3:B0:D4:A4:42:E0,-58,1711213466.3869243
2024-03-23 17:04:26.786917,FA:A5:6E:E8:3D:9C,-74,1711213466.7869453
2024-03-23 17:04:27.120093,D7:AB:60:ED:B3:66,-65,1711213467.1201222
2024-03-23 17:04:27.277826,E4:02:B8:34:EC:F3,-60,1711213467.277855
-,-,-,-
2024-03-23 17:04:27.389903,F3:B0:D4:A4:42:E0,-66,1711213467.3899307
2024-03-23 17:04:27.565147,E9:71:D6:A6:52:19,-59,1711213467.5651755
2024-03-23 17:04:27.793817,FA:A5:6E:E8:3D:9C,-67,1711213467.793845
2024-03-23 17:04:28.200307,D7:AB:60:ED:B3:66,-76,1711213468.200335
-,-,-,-
2024-03-23 17:04:28.279355,E4:02:B8:34:EC:F3,-57,1711213468.2793832
2024-03-23 17:04:28.575307,E9:71:D6:A6:52:19,-68,1711213468.5753362
2024-03-23 17:04:29.133051,D7:AB:60:ED:B3:66,-64,1711213469.133079
2024-03-23 17:04:29.278902,E4:02:B8:34:EC:F3,-50,1711213469.27893
2024-03-23 17:04:29.796827,FA:A5:6E:E8:3D:9C,-75,1711213469.7968545
-,-,-,-
2024-03-23 17:04:30.140804,D7:AB:60:ED:B3:66,-68,1711213470.1408312
2024-03-23 17:04:30.282935,E4:02:B8:34:EC:F3,-51,1711213470.282962
