datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 16:34:38.232467,FA:A5:6E:E8:3D:9C,-51,1711211678.2324858
2024-03-23 16:34:38.604146,D7:AB:60:ED:B3:66,-62,1711211678.6041656
2024-03-23 16:34:38.745229,F3:B0:D4:A4:42:E0,-60,1711211678.7452464
-,-,-,-
2024-03-23 16:34:39.054093,E9:71:D6:A6:52:19,-68,1711211679.054111
2024-03-23 16:34:39.238172,FA:A5:6E:E8:3D:9C,-51,1711211679.23819
2024-03-23 16:34:39.606151,E4:02:B8:34:EC:F3,-59,1711211679.6061683
-,-,-,-
2024-03-23 16:34:39.610900,D7:AB:60:ED:B3:66,-63,1711211679.6109176
2024-03-23 16:34:39.748691,F3:B0:D4:A4:42:E0,-63,1711211679.7487094
2024-03-23 16:34:40.061280,E9:71:D6:A6:52:19,-69,1711211680.0612977
-,-,-,-
2024-03-23 16:34:40.247052,FA:A5:6E:E8:3D:9C,-74,1711211680.2470806
2024-03-23 16:34:40.614186,E4:02:B8:34:EC:F3,-60,1711211680.6142147
2024-03-23 16:34:40.619506,D7:AB:60:ED:B3:66,-67,1711211680.619534
-,-,-,-
2024-03-23 16:34:40.754714,F3:B0:D4:A4:42:E0,-64,1711211680.7547417
2024-03-23 16:34:41.100341,E9:71:D6:A6:52:19,-67,1711211681.1003695
2024-03-23 16:34:41.247076,FA:A5:6E:E8:3D:9C,-57,1711211681.247104
-,-,-,-
2024-03-23 16:34:41.621073,D7:AB:60:ED:B3:66,-65,1711211681.6211014
2024-03-23 16:34:41.721865,E4:02:B8:34:EC:F3,-62,1711211681.7218933
2024-03-23 16:34:41.763425,F3:B0:D4:A4:42:E0,-64,1711211681.763452
-,-,-,-
2024-03-23 16:34:42.248064,FA:A5:6E:E8:3D:9C,-51,1711211682.2480922
2024-03-23 16:34:42.626082,D7:AB:60:ED:B3:66,-65,1711211682.6261106
2024-03-23 16:34:42.631832,E4:02:B8:34:EC:F3,-62,1711211682.6318603
-,-,-,-
2024-03-23 16:34:42.773297,F3:B0:D4:A4:42:E0,-64,1711211682.7733245
2024-03-23 16:34:43.077401,E9:71:D6:A6:52:19,-87,1711211683.0774295
2024-03-23 16:34:43.251057,FA:A5:6E:E8:3D:9C,-73,1711211683.251085
-,-,-,-
2024-03-23 16:34:43.634020,E4:02:B8:34:EC:F3,-64,1711211683.6340485
2024-03-23 16:34:43.777059,F3:B0:D4:A4:42:E0,-60,1711211683.7770867
2024-03-23 16:34:44.078039,E9:71:D6:A6:52:19,-69,1711211684.0780668
-,-,-,-
2024-03-23 16:34:44.258520,FA:A5:6E:E8:3D:9C,-74,1711211684.2585452
2024-03-23 16:34:44.634135,D7:AB:60:ED:B3:66,-68,1711211684.6341636
2024-03-23 16:34:44.779293,F3:B0:D4:A4:42:E0,-63,1711211684.7793221
-,-,-,-
2024-03-23 16:34:45.086320,E9:71:D6:A6:52:19,-68,1711211685.086349
2024-03-23 16:34:45.314498,FA:A5:6E:E8:3D:9C,-57,1711211685.314527
2024-03-23 16:34:45.634999,D7:AB:60:ED:B3:66,-65,1711211685.6350272
-,-,-,-
2024-03-23 16:34:45.643996,E4:02:B8:34:EC:F3,-60,1711211685.6440241
2024-03-23 16:34:45.832942,F3:B0:D4:A4:42:E0,-64,1711211685.8329663
2024-03-23 16:34:46.090050,E9:71:D6:A6:52:19,-67,1711211686.0900779
-,-,-,-
2024-03-23 16:34:46.271458,FA:A5:6E:E8:3D:9C,-57,1711211686.271487
2024-03-23 16:34:46.642123,D7:AB:60:ED:B3:66,-66,1711211686.642151
2024-03-23 16:34:46.647519,E4:02:B8:34:EC:F3,-61,1711211686.6475475
-,-,-,-
2024-03-23 16:34:46.788550,F3:B0:D4:A4:42:E0,-64,1711211686.7885742
2024-03-23 16:34:47.091992,E9:71:D6:A6:52:19,-85,1711211687.0920224
2024-03-23 16:34:47.272051,FA:A5:6E:E8:3D:9C,-51,1711211687.2720788
-,-,-,-
2024-03-23 16:34:47.648093,D7:AB:60:ED:B3:66,-63,1711211687.64812
2024-03-23 16:34:47.697808,E4:02:B8:34:EC:F3,-65,1711211687.6978352
2024-03-23 16:34:47.792546,F3:B0:D4:A4:42:E0,-60,1711211687.7925742
-,-,-,-
2024-03-23 16:34:48.280207,FA:A5:6E:E8:3D:9C,-74,1711211688.2802355
2024-03-23 16:34:48.661380,E4:02:B8:34:EC:F3,-60,1711211688.6614082
2024-03-23 16:34:48.794197,F3:B0:D4:A4:42:E0,-64,1711211688.7942252
-,-,-,-
2024-03-23 16:34:49.097103,E9:71:D6:A6:52:19,-85,1711211689.0971315
2024-03-23 16:34:49.287076,FA:A5:6E:E8:3D:9C,-57,1711211689.2871046
