datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 17:57:38.537187,EE:93:45:01:28:95,-69,1711216658.5372076
2024-03-23 17:57:38.712399,D7:AB:60:ED:B3:66,-53,1711216658.7124176
2024-03-23 17:57:38.756561,C0:11:E6:96:20:A0,-80,1711216658.7565784
2024-03-23 17:57:39.113535,F3:B0:D4:A4:42:E0,-83,1711216659.1135535
-,-,-,-
2024-03-23 17:57:39.118527,E9:71:D6:A6:52:19,-64,1711216659.1185448
2024-03-23 17:57:39.258013,E4:02:B8:34:EC:F3,-70,1711216659.2580326
2024-03-23 17:57:39.436926,FA:A5:6E:E8:3D:9C,-64,1711216659.4369447
2024-03-23 17:57:39.535261,EE:93:45:01:28:95,-75,1711216659.5352788
-,-,-,-
2024-03-23 17:57:39.714144,D7:AB:60:ED:B3:66,-57,1711216659.714162
2024-03-23 17:57:40.118299,F3:B0:D4:A4:42:E0,-69,1711216660.1183171
2024-03-23 17:57:40.121371,E9:71:D6:A6:52:19,-68,1711216660.1213884
2024-03-23 17:57:40.199194,E4:02:B8:34:EC:F3,-68,1711216660.1992126
-,-,-,-
2024-03-23 17:57:40.436227,FA:A5:6E:E8:3D:9C,-75,1711216660.436246
2024-03-23 17:57:40.720041,D7:AB:60:ED:B3:66,-45,1711216660.7200685
2024-03-23 17:57:40.762261,C0:11:E6:96:20:A0,-76,1711216660.7622895
2024-03-23 17:57:41.116213,F3:B0:D4:A4:42:E0,-62,1711216661.116241
-,-,-,-
2024-03-23 17:57:41.132482,E9:71:D6:A6:52:19,-60,1711216661.1325095
2024-03-23 17:57:41.210196,E4:02:B8:34:EC:F3,-63,1711216661.210224
2024-03-23 17:57:41.552938,EE:93:45:01:28:95,-78,1711216661.5529664
2024-03-23 17:57:41.723249,D7:AB:60:ED:B3:66,-42,1711216661.7232761
-,-,-,-
2024-03-23 17:57:41.767947,C0:11:E6:96:20:A0,-72,1711216661.7679746
2024-03-23 17:57:42.120944,F3:B0:D4:A4:42:E0,-67,1711216662.1209726
2024-03-23 17:57:42.132583,E9:71:D6:A6:52:19,-60,1711216662.1326106
2024-03-23 17:57:42.218308,E4:02:B8:34:EC:F3,-65,1711216662.218336
-,-,-,-
2024-03-23 17:57:42.448439,FA:A5:6E:E8:3D:9C,-59,1711216662.4484642
2024-03-23 17:57:42.563101,EE:93:45:01:28:95,-76,1711216662.5631285
2024-03-23 17:57:42.765022,D7:AB:60:ED:B3:66,-50,1711216662.7650504
2024-03-23 17:57:42.768256,C0:11:E6:96:20:A0,-72,1711216662.7682831
-,-,-,-
2024-03-23 17:57:43.126221,F3:B0:D4:A4:42:E0,-79,1711216663.126249
2024-03-23 17:57:43.134259,E9:71:D6:A6:52:19,-68,1711216663.1342864
2024-03-23 17:57:43.450886,FA:A5:6E:E8:3D:9C,-78,1711216663.450914
2024-03-23 17:57:43.569934,EE:93:45:01:28:95,-70,1711216663.5699618
-,-,-,-
2024-03-23 17:57:43.728949,D7:AB:60:ED:B3:66,-51,1711216663.7289777
2024-03-23 17:57:44.132213,F3:B0:D4:A4:42:E0,-65,1711216664.1322403
2024-03-23 17:57:44.137199,E9:71:D6:A6:52:19,-75,1711216664.1372254
2024-03-23 17:57:44.232336,E4:02:B8:34:EC:F3,-69,1711216664.2323651
-,-,-,-
2024-03-23 17:57:44.557295,FA:A5:6E:E8:3D:9C,-67,1711216664.5573227
2024-03-23 17:57:44.576143,EE:93:45:01:28:95,-78,1711216664.5761719
2024-03-23 17:57:44.736019,D7:AB:60:ED:B3:66,-53,1711216664.7360475
2024-03-23 17:57:44.782026,C0:11:E6:96:20:A0,-65,1711216664.7820544
-,-,-,-
2024-03-23 17:57:45.133046,F3:B0:D4:A4:42:E0,-64,1711216665.1330738
2024-03-23 17:57:45.142261,E9:71:D6:A6:52:19,-64,1711216665.1422887
2024-03-23 17:57:45.237357,E4:02:B8:34:EC:F3,-66,1711216665.2373857
2024-03-23 17:57:45.498259,FA:A5:6E:E8:3D:9C,-65,1711216665.498287
-,-,-,-
2024-03-23 17:57:45.734782,D7:AB:60:ED:B3:66,-51,1711216665.7348113
2024-03-23 17:57:45.789285,C0:11:E6:96:20:A0,-70,1711216665.7893128
2024-03-23 17:57:46.193621,F3:B0:D4:A4:42:E0,-53,1711216666.1936502
2024-03-23 17:57:46.246873,E4:02:B8:34:EC:F3,-64,1711216666.2469018
-,-,-,-
2024-03-23 17:57:46.467626,FA:A5:6E:E8:3D:9C,-67,1711216666.4676516
2024-03-23 17:57:46.588954,EE:93:45:01:28:95,-77,1711216666.588982
2024-03-23 17:57:46.742103,D7:AB:60:ED:B3:66,-65,1711216666.7421312
2024-03-23 17:57:47.139068,F3:B0:D4:A4:42:E0,-59,1711216667.1390955
-,-,-,-
2024-03-23 17:57:47.475980,FA:A5:6E:E8:3D:9C,-65,1711216667.4760094
2024-03-23 17:57:47.593943,EE:93:45:01:28:95,-75,1711216667.593972
2024-03-23 17:57:47.898273,D7:AB:60:ED:B3:66,-59,1711216667.8983011
2024-03-23 17:57:48.143863,F3:B0:D4:A4:42:E0,-61,1711216668.1438916
-,-,-,-
2024-03-23 17:57:48.220702,E9:71:D6:A6:52:19,-73,1711216668.2207305
2024-03-23 17:57:48.257179,E4:02:B8:34:EC:F3,-60,1711216668.2572055
2024-03-23 17:57:48.532714,FA:A5:6E:E8:3D:9C,-71,1711216668.5327425
2024-03-23 17:57:48.743975,D7:AB:60:ED:B3:66,-69,1711216668.7440035
-,-,-,-
2024-03-23 17:57:49.154423,F3:B0:D4:A4:42:E0,-47,1711216669.154451
2024-03-23 17:57:49.161316,E9:71:D6:A6:52:19,-75,1711216669.161344
2024-03-23 17:57:49.260212,E4:02:B8:34:EC:F3,-66,1711216669.2602396
2024-03-23 17:57:49.484974,FA:A5:6E:E8:3D:9C,-67,1711216669.4850018
-,-,-,-
2024-03-23 17:57:49.599880,EE:93:45:01:28:95,-72,1711216669.599908
2024-03-23 17:57:49.750911,D7:AB:60:ED:B3:66,-69,1711216669.7509394
2024-03-23 17:57:49.809017,C0:11:E6:96:20:A0,-78,1711216669.809045
2024-03-23 17:57:50.160174,F3:B0:D4:A4:42:E0,-49,1711216670.1602025
-,-,-,-
2024-03-23 17:57:50.167394,E9:71:D6:A6:52:19,-64,1711216670.1674204
2024-03-23 17:57:50.493072,FA:A5:6E:E8:3D:9C,-65,1711216670.4930997
2024-03-23 17:57:50.756346,D7:AB:60:ED:B3:66,-75,1711216670.756375
2024-03-23 17:57:50.807166,C0:11:E6:96:20:A0,-78,1711216670.8071928
-,-,-,-
2024-03-23 17:57:51.162105,F3:B0:D4:A4:42:E0,-54,1711216671.1621327
2024-03-23 17:57:51.170256,E9:71:D6:A6:52:19,-61,1711216671.170283
2024-03-23 17:57:51.268320,E4:02:B8:34:EC:F3,-60,1711216671.2683468
2024-03-23 17:57:51.498917,FA:A5:6E:E8:3D:9C,-65,1711216671.4989452
-,-,-,-
2024-03-23 17:57:51.758768,D7:AB:60:ED:B3:66,-63,1711216671.7587967
2024-03-23 17:57:51.815230,C0:11:E6:96:20:A0,-69,1711216671.8152573
2024-03-23 17:57:52.164868,F3:B0:D4:A4:42:E0,-51,1711216672.1648955
2024-03-23 17:57:52.174361,E9:71:D6:A6:52:19,-64,1711216672.174388
-,-,-,-
2024-03-23 17:57:52.333306,E4:02:B8:34:EC:F3,-63,1711216672.333334
2024-03-23 17:57:52.506978,FA:A5:6E:E8:3D:9C,-57,1711216672.507006
2024-03-23 17:57:52.607463,EE:93:45:01:28:95,-68,1711216672.6074884
2024-03-23 17:57:52.765184,D7:AB:60:ED:B3:66,-61,1711216672.7652118
-,-,-,-
2024-03-23 17:57:52.824618,C0:11:E6:96:20:A0,-64,1711216672.8246455
2024-03-23 17:57:53.172226,F3:B0:D4:A4:42:E0,-59,1711216673.1722558
2024-03-23 17:57:53.269277,E9:71:D6:A6:52:19,-59,1711216673.269305
2024-03-23 17:57:53.272277,E4:02:B8:34:EC:F3,-65,1711216673.272305
-,-,-,-
2024-03-23 17:57:53.508371,FA:A5:6E:E8:3D:9C,-65,1711216673.5083952
2024-03-23 17:57:53.615909,EE:93:45:01:28:95,-82,1711216673.6159368
2024-03-23 17:57:53.773858,D7:AB:60:ED:B3:66,-68,1711216673.7738862
2024-03-23 17:57:53.830869,C0:11:E6:96:20:A0,-71,1711216673.8308964
-,-,-,-
2024-03-23 17:57:54.178079,F3:B0:D4:A4:42:E0,-56,1711216674.1781082
2024-03-23 17:57:54.185233,E9:71:D6:A6:52:19,-62,1711216674.1852605
2024-03-23 17:57:54.277351,E4:02:B8:34:EC:F3,-71,1711216674.2773793
2024-03-23 17:57:54.625009,EE:93:45:01:28:95,-66,1711216674.6250362
-,-,-,-
2024-03-23 17:57:54.772932,D7:AB:60:ED:B3:66,-65,1711216674.7729597
2024-03-23 17:57:54.830320,C0:11:E6:96:20:A0,-74,1711216674.830347
2024-03-23 17:57:55.185150,F3:B0:D4:A4:42:E0,-61,1711216675.1851776
2024-03-23 17:57:55.192229,E9:71:D6:A6:52:19,-69,1711216675.1922572
-,-,-,-
2024-03-23 17:57:55.526927,FA:A5:6E:E8:3D:9C,-74,1711216675.526955
2024-03-23 17:57:55.631024,EE:93:45:01:28:95,-62,1711216675.631053
2024-03-23 17:57:55.835921,C0:11:E6:96:20:A0,-73,1711216675.8359494
2024-03-23 17:57:56.196131,E9:71:D6:A6:52:19,-75,1711216676.1961591
-,-,-,-
2024-03-23 17:57:56.285115,E4:02:B8:34:EC:F3,-50,1711216676.2851434
