datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 18:01:48.881997,D7:AB:60:ED:B3:66,-52,1711216908.8820162
2024-03-23 18:01:49.038078,C0:11:E6:96:20:A0,-78,1711216909.0380964
2024-03-23 18:01:49.336664,F3:B0:D4:A4:42:E0,-62,1711216909.336682
2024-03-23 18:01:49.360440,E9:71:D6:A6:52:19,-60,1711216909.3604574
-,-,-,-
2024-03-23 18:01:49.394253,E4:02:B8:34:EC:F3,-64,1711216909.3942711
2024-03-23 18:01:49.629721,FA:A5:6E:E8:3D:9C,-56,1711216909.6297393
2024-03-23 18:01:49.882994,D7:AB:60:ED:B3:66,-48,1711216909.8830118
2024-03-23 18:01:49.965379,C0:11:E6:96:20:A0,-73,1711216909.9653976
-,-,-,-
2024-03-23 18:01:50.308230,F3:B0:D4:A4:42:E0,-66,1711216910.308248
2024-03-23 18:01:50.342045,E9:71:D6:A6:52:19,-63,1711216910.3420632
2024-03-23 18:01:50.399342,E4:02:B8:34:EC:F3,-65,1711216910.3993604
2024-03-23 18:01:50.631844,FA:A5:6E:E8:3D:9C,-67,1711216910.6318629
-,-,-,-
2024-03-23 18:01:50.777689,EE:93:45:01:28:95,-76,1711216910.777716
2024-03-23 18:01:50.890264,D7:AB:60:ED:B3:66,-56,1711216910.8902924
2024-03-23 18:01:51.313772,F3:B0:D4:A4:42:E0,-63,1711216911.3137996
2024-03-23 18:01:51.346106,E9:71:D6:A6:52:19,-70,1711216911.3461332
-,-,-,-
2024-03-23 18:01:51.400799,E4:02:B8:34:EC:F3,-62,1711216911.4008274
2024-03-23 18:01:51.638776,FA:A5:6E:E8:3D:9C,-67,1711216911.6388042
2024-03-23 18:01:51.892978,D7:AB:60:ED:B3:66,-44,1711216911.893006
2024-03-23 18:01:51.972938,C0:11:E6:96:20:A0,-73,1711216911.9729662
-,-,-,-
2024-03-23 18:01:52.314820,F3:B0:D4:A4:42:E0,-66,1711216912.3148487
2024-03-23 18:01:52.351074,E9:71:D6:A6:52:19,-60,1711216912.3511007
2024-03-23 18:01:52.409117,E4:02:B8:34:EC:F3,-68,1711216912.4091446
2024-03-23 18:01:52.639647,FA:A5:6E:E8:3D:9C,-57,1711216912.639676
-,-,-,-
2024-03-23 18:01:52.785749,EE:93:45:01:28:95,-74,1711216912.7857761
2024-03-23 18:01:52.894707,D7:AB:60:ED:B3:66,-53,1711216912.8947353
2024-03-23 18:01:52.972855,C0:11:E6:96:20:A0,-79,1711216912.9728827
2024-03-23 18:01:53.319867,F3:B0:D4:A4:42:E0,-61,1711216913.319895
-,-,-,-
2024-03-23 18:01:53.361312,E9:71:D6:A6:52:19,-60,1711216913.36134
2024-03-23 18:01:53.418113,E4:02:B8:34:EC:F3,-75,1711216913.418141
2024-03-23 18:01:53.644712,FA:A5:6E:E8:3D:9C,-68,1711216913.6447399
