datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 18:03:39.841903,F3:B0:D4:A4:42:E0,-73,1711217019.8419223
2024-03-23 18:03:39.936949,E9:71:D6:A6:52:19,-56,1711217019.9369676
2024-03-23 18:03:39.939974,E4:02:B8:34:EC:F3,-67,1711217019.939992
2024-03-23 18:03:40.131682,FA:A5:6E:E8:3D:9C,-59,1711217020.1317008
-,-,-,-
2024-03-23 18:03:40.309832,EE:93:45:01:28:95,-66,1711217020.3098495
2024-03-23 18:03:40.389801,D7:AB:60:ED:B3:66,-46,1711217020.389819
2024-03-23 18:03:40.537798,C0:11:E6:96:20:A0,-65,1711217020.5378168
2024-03-23 18:03:40.843810,F3:B0:D4:A4:42:E0,-68,1711217020.843827
-,-,-,-
2024-03-23 18:03:40.858925,E9:71:D6:A6:52:19,-63,1711217020.8589427
2024-03-23 18:03:40.942129,E4:02:B8:34:EC:F3,-63,1711217020.9421475
2024-03-23 18:03:41.138740,FA:A5:6E:E8:3D:9C,-56,1711217021.138758
2024-03-23 18:03:41.391909,D7:AB:60:ED:B3:66,-45,1711217021.391927
-,-,-,-
2024-03-23 18:03:41.539897,C0:11:E6:96:20:A0,-71,1711217021.5399146
2024-03-23 18:03:41.850799,F3:B0:D4:A4:42:E0,-66,1711217021.8508277
2024-03-23 18:03:41.954094,E4:02:B8:34:EC:F3,-68,1711217021.9541204
2024-03-23 18:03:42.148671,FA:A5:6E:E8:3D:9C,-52,1711217022.1486993
-,-,-,-
2024-03-23 18:03:42.399895,EE:93:45:01:28:95,-73,1711217022.3999236
2024-03-23 18:03:42.402887,D7:AB:60:ED:B3:66,-41,1711217022.4029138
2024-03-23 18:03:42.618840,C0:11:E6:96:20:A0,-70,1711217022.618867
2024-03-23 18:03:42.878926,E9:71:D6:A6:52:19,-62,1711217022.8789544
-,-,-,-
2024-03-23 18:03:42.957695,E4:02:B8:34:EC:F3,-66,1711217022.9577227
2024-03-23 18:03:43.157547,FA:A5:6E:E8:3D:9C,-59,1711217023.1575754
2024-03-23 18:03:43.349988,EE:93:45:01:28:95,-62,1711217023.350015
2024-03-23 18:03:43.406952,D7:AB:60:ED:B3:66,-48,1711217023.4069793
-,-,-,-
2024-03-23 18:03:43.549803,C0:11:E6:96:20:A0,-67,1711217023.5498278
2024-03-23 18:03:43.862636,F3:B0:D4:A4:42:E0,-67,1711217023.8626645
2024-03-23 18:03:44.160642,FA:A5:6E:E8:3D:9C,-63,1711217024.1606698
2024-03-23 18:03:44.329841,EE:93:45:01:28:95,-65,1711217024.3298683
-,-,-,-
2024-03-23 18:03:44.409590,D7:AB:60:ED:B3:66,-51,1711217024.409618
2024-03-23 18:03:44.551635,C0:11:E6:96:20:A0,-73,1711217024.551663
2024-03-23 18:03:44.871577,F3:B0:D4:A4:42:E0,-71,1711217024.871606
2024-03-23 18:03:44.893908,E9:71:D6:A6:52:19,-69,1711217024.8939357
-,-,-,-
2024-03-23 18:03:44.972051,E4:02:B8:34:EC:F3,-64,1711217024.9720786
