datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 18:12:29.851221,EE:93:45:01:28:95,-74,1711217549.8512418
2024-03-23 18:12:30.121149,D7:AB:60:ED:B3:66,-60,1711217550.1211674
2024-03-23 18:12:30.423451,F3:B0:D4:A4:42:E0,-61,1711217550.4234703
2024-03-23 18:12:30.533232,E9:71:D6:A6:52:19,-64,1711217550.53325
-,-,-,-
2024-03-23 18:12:30.723097,FA:A5:6E:E8:3D:9C,-48,1711217550.7231157
2024-03-23 18:12:30.858282,EE:93:45:01:28:95,-72,1711217550.858299
2024-03-23 18:12:31.194355,D7:AB:60:ED:B3:66,-66,1711217551.194373
2024-03-23 18:12:31.425199,F3:B0:D4:A4:42:E0,-67,1711217551.4252176
-,-,-,-
2024-03-23 18:12:31.541314,E9:71:D6:A6:52:19,-71,1711217551.5413315
2024-03-23 18:12:31.722146,E4:02:B8:34:EC:F3,-67,1711217551.7221653
2024-03-23 18:12:31.728522,FA:A5:6E:E8:3D:9C,-60,1711217551.7285397
2024-03-23 18:12:31.867083,EE:93:45:01:28:95,-64,1711217551.8671107
-,-,-,-
2024-03-23 18:12:32.126103,D7:AB:60:ED:B3:66,-66,1711217552.1261303
2024-03-23 18:12:32.444415,F3:B0:D4:A4:42:E0,-71,1711217552.4444437
2024-03-23 18:12:32.555009,E9:71:D6:A6:52:19,-64,1711217552.555036
2024-03-23 18:12:32.733099,FA:A5:6E:E8:3D:9C,-48,1711217552.7331276
-,-,-,-
2024-03-23 18:12:32.874970,EE:93:45:01:28:95,-68,1711217552.8749964
2024-03-23 18:12:33.133112,D7:AB:60:ED:B3:66,-60,1711217553.1331396
2024-03-23 18:12:33.434099,F3:B0:D4:A4:42:E0,-64,1711217553.434127
2024-03-23 18:12:33.605368,E9:71:D6:A6:52:19,-69,1711217553.6053953
-,-,-,-
2024-03-23 18:12:33.647928,E4:02:B8:34:EC:F3,-57,1711217553.6479557
2024-03-23 18:12:33.732598,FA:A5:6E:E8:3D:9C,-51,1711217553.732623
2024-03-23 18:12:33.877623,EE:93:45:01:28:95,-59,1711217553.8776474
2024-03-23 18:12:34.138107,D7:AB:60:ED:B3:66,-60,1711217554.1381347
-,-,-,-
2024-03-23 18:12:34.442048,F3:B0:D4:A4:42:E0,-59,1711217554.4420764
2024-03-23 18:12:34.561085,E9:71:D6:A6:52:19,-70,1711217554.5611136
