datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 16:43:42.263655,E4:02:B8:34:EC:F3,-54,1711212222.263675
2024-03-23 16:43:42.591299,F3:B0:D4:A4:42:E0,-55,1711212222.5913181
2024-03-23 16:43:42.791077,E9:71:D6:A6:52:19,-59,1711212222.7910943
2024-03-23 16:43:43.574702,D7:AB:60:ED:B3:66,-55,1711212223.5747297
-,-,-,-
2024-03-23 16:43:46.171083,FA:A5:6E:E8:3D:9C,-47,1711212226.171111
2024-03-23 16:45:50.975339,F3:B0:D4:A4:42:E0,-61,1711212350.9753585
2024-03-23 16:45:51.417998,FA:A5:6E:E8:3D:9C,-45,1711212351.4180157
2024-03-23 16:45:51.769930,E4:02:B8:34:EC:F3,-68,1711212351.769948
2024-03-23 16:45:51.780302,D7:AB:60:ED:B3:66,-63,1711212351.7803195
-,-,-,-
2024-03-23 16:48:28.955021,E9:71:D6:A6:52:19,-61,1711212508.9550402
2024-03-23 16:48:29.798919,E4:02:B8:34:EC:F3,-61,1711212509.7989366
2024-03-23 16:48:30.204869,FA:A5:6E:E8:3D:9C,-44,1711212510.2048874
2024-03-23 16:48:30.541528,D7:AB:60:ED:B3:66,-63,1711212510.5415454
-,-,-,-
2024-03-23 16:49:24.844268,D7:AB:60:ED:B3:66,-52,1711212564.8442888
2024-03-23 16:49:24.846428,E4:02:B8:34:EC:F3,-59,1711212564.846443
2024-03-23 16:49:24.961361,F3:B0:D4:A4:42:E0,-53,1711212564.9613795
2024-03-23 16:49:26.417325,E9:71:D6:A6:52:19,-56,1711212566.4173424
-,-,-,-
2024-03-23 16:49:26.498660,FA:A5:6E:E8:3D:9C,-53,1711212566.4986882
2024-03-23 16:50:01.020013,D7:AB:60:ED:B3:66,-77,1711212601.0200322
2024-03-23 16:50:01.025322,E4:02:B8:34:EC:F3,-54,1711212601.0253398
2024-03-23 16:50:01.135930,F3:B0:D4:A4:42:E0,-51,1711212601.135974
2024-03-23 16:50:01.408989,E9:71:D6:A6:52:19,-70,1711212601.4090085
-,-,-,-
2024-03-23 16:50:01.595860,FA:A5:6E:E8:3D:9C,-53,1711212601.5958784
2024-03-23 16:50:02.019044,D7:AB:60:ED:B3:66,-60,1711212602.0190618
2024-03-23 16:50:02.026369,E4:02:B8:34:EC:F3,-68,1711212602.026387
2024-03-23 16:50:02.137132,F3:B0:D4:A4:42:E0,-57,1711212602.1371493
-,-,-,-
2024-03-23 16:50:02.407945,E9:71:D6:A6:52:19,-66,1711212602.4080048
2024-03-23 16:50:02.641938,FA:A5:6E:E8:3D:9C,-60,1711212602.641956
2024-03-23 16:50:03.021953,D7:AB:60:ED:B3:66,-63,1711212603.02198
2024-03-23 16:50:03.611770,FA:A5:6E:E8:3D:9C,-64,1711212603.6117983
2024-03-23 16:50:04.027103,D7:AB:60:ED:B3:66,-75,1711212604.0271308
2024-03-23 16:50:04.042061,E4:02:B8:34:EC:F3,-57,1711212604.0420895
-,-,-,-
2024-03-23 16:50:04.150904,F3:B0:D4:A4:42:E0,-51,1711212604.1509311
2024-03-23 16:50:04.457251,E9:71:D6:A6:52:19,-65,1711212604.4572794
2024-03-23 16:50:04.613889,FA:A5:6E:E8:3D:9C,-59,1711212604.6139169
2024-03-23 16:50:05.030336,D7:AB:60:ED:B3:66,-55,1711212605.0303633
-,-,-,-
2024-03-23 16:50:05.047440,E4:02:B8:34:EC:F3,-61,1711212605.0474682
2024-03-23 16:50:05.155548,F3:B0:D4:A4:42:E0,-59,1711212605.1555722
2024-03-23 16:50:05.424861,E9:71:D6:A6:52:19,-77,1711212605.4248888
2024-03-23 16:50:05.617809,FA:A5:6E:E8:3D:9C,-51,1711212605.6178377
-,-,-,-
2024-03-23 16:50:06.033582,D7:AB:60:ED:B3:66,-60,1711212606.0336075
2024-03-23 16:50:06.426843,E9:71:D6:A6:52:19,-67,1711212606.426871
2024-03-23 16:50:06.620861,FA:A5:6E:E8:3D:9C,-62,1711212606.6208892
2024-03-23 16:50:07.035865,D7:AB:60:ED:B3:66,-55,1711212607.035892
2024-03-23 16:50:07.077643,E4:02:B8:34:EC:F3,-71,1711212607.0776696
-,-,-,-
2024-03-23 16:50:07.169927,F3:B0:D4:A4:42:E0,-68,1711212607.1699517
2024-03-23 16:50:07.619760,FA:A5:6E:E8:3D:9C,-48,1711212607.6197877
2024-03-23 16:50:08.043809,D7:AB:60:ED:B3:66,-65,1711212608.0438364
2024-03-23 16:50:08.071350,E4:02:B8:34:EC:F3,-72,1711212608.0713775
-,-,-,-
2024-03-23 16:50:08.177923,F3:B0:D4:A4:42:E0,-60,1711212608.1779494
2024-03-23 16:50:08.438371,E9:71:D6:A6:52:19,-61,1711212608.4383957
2024-03-23 16:50:08.623841,FA:A5:6E:E8:3D:9C,-72,1711212608.6238682
2024-03-23 16:50:09.049108,D7:AB:60:ED:B3:66,-58,1711212609.049136
-,-,-,-
2024-03-23 16:50:09.078511,E4:02:B8:34:EC:F3,-74,1711212609.0785396
2024-03-23 16:50:09.187780,F3:B0:D4:A4:42:E0,-62,1711212609.1878076
2024-03-23 16:50:09.439146,E9:71:D6:A6:52:19,-80,1711212609.4391732
2024-03-23 16:50:09.631712,FA:A5:6E:E8:3D:9C,-65,1711212609.6317396
-,-,-,-
2024-03-23 16:50:10.051780,D7:AB:60:ED:B3:66,-53,1711212610.0518076
2024-03-23 16:50:10.077366,E4:02:B8:34:EC:F3,-57,1711212610.077393
2024-03-23 16:50:10.194946,F3:B0:D4:A4:42:E0,-51,1711212610.194973
2024-03-23 16:50:10.444116,E9:71:D6:A6:52:19,-73,1711212610.4441435
-,-,-,-
2024-03-23 16:50:11.059232,D7:AB:60:ED:B3:66,-48,1711212611.0592594
2024-03-23 16:50:11.080928,E4:02:B8:34:EC:F3,-64,1711212611.0809548
2024-03-23 16:50:11.450861,E9:71:D6:A6:52:19,-67,1711212611.4508896
2024-03-23 16:50:11.650933,FA:A5:6E:E8:3D:9C,-52,1711212611.6509607
-,-,-,-
2024-03-23 16:50:12.088143,E4:02:B8:34:EC:F3,-61,1711212612.0881717
2024-03-23 16:50:12.205115,F3:B0:D4:A4:42:E0,-63,1711212612.2051427
2024-03-23 16:50:12.659768,FA:A5:6E:E8:3D:9C,-63,1711212612.659795
2024-03-23 16:50:13.077962,D7:AB:60:ED:B3:66,-50,1711212613.077989
-,-,-,-
2024-03-23 16:50:13.661880,FA:A5:6E:E8:3D:9C,-71,1711212613.6619077
2024-03-23 16:50:14.086242,D7:AB:60:ED:B3:66,-49,1711212614.0862699
2024-03-23 16:50:14.096815,E4:02:B8:34:EC:F3,-56,1711212614.0968404
2024-03-23 16:50:14.217372,F3:B0:D4:A4:42:E0,-62,1711212614.2173963
-,-,-,-
2024-03-23 16:50:14.455167,E9:71:D6:A6:52:19,-75,1711212614.4551957
2024-03-23 16:50:14.664877,FA:A5:6E:E8:3D:9C,-60,1711212614.6649044
2024-03-23 16:50:15.088153,D7:AB:60:ED:B3:66,-43,1711212615.08818
2024-03-23 16:50:15.102305,E4:02:B8:34:EC:F3,-56,1711212615.1023314
-,-,-,-
2024-03-23 16:50:15.223359,F3:B0:D4:A4:42:E0,-72,1711212615.2233822
2024-03-23 16:50:15.462921,E9:71:D6:A6:52:19,-65,1711212615.4629486
2024-03-23 16:50:15.667298,FA:A5:6E:E8:3D:9C,-68,1711212615.667326
2024-03-23 16:50:16.091025,D7:AB:60:ED:B3:66,-49,1711212616.0910518
-,-,-,-
2024-03-23 16:50:16.105612,E4:02:B8:34:EC:F3,-65,1711212616.1056402
2024-03-23 16:50:16.226372,F3:B0:D4:A4:42:E0,-70,1711212616.2263963
2024-03-23 16:50:16.471826,E9:71:D6:A6:52:19,-72,1711212616.4718533
2024-03-23 16:50:16.670939,FA:A5:6E:E8:3D:9C,-56,1711212616.670966
-,-,-,-
2024-03-23 16:50:17.106018,E4:02:B8:34:EC:F3,-61,1711212617.1060455
2024-03-23 16:50:17.230091,F3:B0:D4:A4:42:E0,-62,1711212617.230118
2024-03-23 16:50:17.473852,E9:71:D6:A6:52:19,-61,1711212617.4738784
2024-03-23 16:50:17.676129,FA:A5:6E:E8:3D:9C,-60,1711212617.6761577
-,-,-,-
2024-03-23 16:50:18.212231,D7:AB:60:ED:B3:66,-57,1711212618.212258
2024-03-23 16:50:18.482912,E9:71:D6:A6:52:19,-66,1711212618.48294
2024-03-23 16:50:18.684896,FA:A5:6E:E8:3D:9C,-53,1711212618.684923
2024-03-23 16:50:19.113027,E4:02:B8:34:EC:F3,-61,1711212619.1130548
-,-,-,-
2024-03-23 16:50:19.119414,D7:AB:60:ED:B3:66,-49,1711212619.1194413
2024-03-23 16:50:19.236474,F3:B0:D4:A4:42:E0,-61,1711212619.2364984
2024-03-23 16:50:19.489834,E9:71:D6:A6:52:19,-66,1711212619.4898608
2024-03-23 16:50:19.689958,FA:A5:6E:E8:3D:9C,-60,1711212619.6899853
-,-,-,-
2024-03-23 16:50:20.189283,E4:02:B8:34:EC:F3,-67,1711212620.1893108
