datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 16:51:34.608693,E4:02:B8:34:EC:F3,-52,1711212694.6087136
2024-03-23 16:51:35.022614,F3:B0:D4:A4:42:E0,-39,1711212695.022632
2024-03-23 16:51:35.448842,D7:AB:60:ED:B3:66,-59,1711212695.4488597
2024-03-23 16:51:36.090189,E9:71:D6:A6:52:19,-71,1711212696.0902083
-,-,-,-
2024-03-23 16:51:36.093493,FA:A5:6E:E8:3D:9C,-47,1711212696.0935078
2024-03-23 16:52:11.610870,D7:AB:60:ED:B3:66,-58,1711212731.6108897
2024-03-23 16:52:11.648325,E4:02:B8:34:EC:F3,-69,1711212731.6483433
2024-03-23 16:52:11.806827,F3:B0:D4:A4:42:E0,-63,1711212731.8068452
2024-03-23 16:52:12.024977,E9:71:D6:A6:52:19,-69,1711212732.0249949
-,-,-,-
2024-03-23 16:52:12.612030,D7:AB:60:ED:B3:66,-67,1711212732.6120484
2024-03-23 16:52:12.651061,E4:02:B8:34:EC:F3,-69,1711212732.651079
2024-03-23 16:52:13.032113,E9:71:D6:A6:52:19,-75,1711212733.032131
2024-03-23 16:52:13.276922,FA:A5:6E:E8:3D:9C,-49,1711212733.2769403
-,-,-,-
2024-03-23 16:52:13.618099,D7:AB:60:ED:B3:66,-63,1711212733.6181266
2024-03-23 16:52:13.761617,E4:02:B8:34:EC:F3,-53,1711212733.7616446
2024-03-23 16:52:13.869588,F3:B0:D4:A4:42:E0,-60,1711212733.8696146
2024-03-23 16:52:14.041927,E9:71:D6:A6:52:19,-68,1711212734.041954
-,-,-,-
2024-03-23 16:52:14.280898,FA:A5:6E:E8:3D:9C,-51,1711212734.280925
2024-03-23 16:52:14.620234,D7:AB:60:ED:B3:66,-60,1711212734.6202602
2024-03-23 16:52:14.664331,E4:02:B8:34:EC:F3,-69,1711212734.6643589
2024-03-23 16:52:14.813003,F3:B0:D4:A4:42:E0,-59,1711212734.8130302
-,-,-,-
2024-03-23 16:52:15.048356,E9:71:D6:A6:52:19,-68,1711212735.048381
2024-03-23 16:52:15.285854,FA:A5:6E:E8:3D:9C,-53,1711212735.2858818
2024-03-23 16:52:15.672959,E4:02:B8:34:EC:F3,-58,1711212735.6729872
2024-03-23 16:52:15.817075,F3:B0:D4:A4:42:E0,-67,1711212735.8171034
-,-,-,-
2024-03-23 16:52:16.053862,E9:71:D6:A6:52:19,-69,1711212736.0538883
2024-03-23 16:52:16.293245,FA:A5:6E:E8:3D:9C,-46,1711212736.293273
2024-03-23 16:52:16.675844,D7:AB:60:ED:B3:66,-64,1711212736.6758728
2024-03-23 16:52:16.680039,E4:02:B8:34:EC:F3,-68,1711212736.6800656
-,-,-,-
2024-03-23 16:52:16.823379,F3:B0:D4:A4:42:E0,-74,1711212736.8234034
2024-03-23 16:52:17.055885,E9:71:D6:A6:52:19,-61,1711212737.055913
2024-03-23 16:52:17.295763,FA:A5:6E:E8:3D:9C,-74,1711212737.295791
2024-03-23 16:52:17.828010,F3:B0:D4:A4:42:E0,-70,1711212737.8280404
2024-03-23 16:52:18.060925,E9:71:D6:A6:52:19,-65,1711212738.0609531
2024-03-23 16:52:18.303758,FA:A5:6E:E8:3D:9C,-66,1711212738.303787
2024-03-23 16:52:18.645806,D7:AB:60:ED:B3:66,-59,1711212738.6458337
-,-,-,-
2024-03-23 16:52:18.691486,E4:02:B8:34:EC:F3,-59,1711212738.691513
2024-03-23 16:52:18.832843,F3:B0:D4:A4:42:E0,-57,1711212738.8328702
2024-03-23 16:52:19.064876,E9:71:D6:A6:52:19,-67,1711212739.0649033
2024-03-23 16:52:19.309881,FA:A5:6E:E8:3D:9C,-77,1711212739.3099082
-,-,-,-
2024-03-23 16:52:19.650158,D7:AB:60:ED:B3:66,-56,1711212739.6501856
2024-03-23 16:52:19.837861,F3:B0:D4:A4:42:E0,-78,1711212739.8378885
2024-03-23 16:52:20.071777,E9:71:D6:A6:52:19,-64,1711212740.0718038
2024-03-23 16:52:20.309766,FA:A5:6E:E8:3D:9C,-75,1711212740.309794
-,-,-,-
2024-03-23 16:52:20.655738,D7:AB:60:ED:B3:66,-70,1711212740.655766
2024-03-23 16:52:20.701021,E4:02:B8:34:EC:F3,-65,1711212740.701049
2024-03-23 16:52:21.007392,F3:B0:D4:A4:42:E0,-62,1711212741.00742
2024-03-23 16:52:21.077274,E9:71:D6:A6:52:19,-64,1711212741.0773003
-,-,-,-
2024-03-23 16:52:21.315725,FA:A5:6E:E8:3D:9C,-68,1711212741.315753
2024-03-23 16:52:21.660854,D7:AB:60:ED:B3:66,-48,1711212741.6608818
2024-03-23 16:52:21.702252,E4:02:B8:34:EC:F3,-60,1711212741.7022777
2024-03-23 16:52:22.079776,E9:71:D6:A6:52:19,-62,1711212742.0798032
-,-,-,-
2024-03-23 16:52:22.321899,FA:A5:6E:E8:3D:9C,-61,1711212742.3219268
2024-03-23 16:52:22.662937,D7:AB:60:ED:B3:66,-61,1711212742.6629648
2024-03-23 16:52:22.710324,E4:02:B8:34:EC:F3,-59,1711212742.7103515
2024-03-23 16:52:22.855804,F3:B0:D4:A4:42:E0,-66,1711212742.8558314
-,-,-,-
2024-03-23 16:52:23.087028,E9:71:D6:A6:52:19,-67,1711212743.0870547
2024-03-23 16:52:23.416045,FA:A5:6E:E8:3D:9C,-72,1711212743.4160745
2024-03-23 16:52:23.666961,D7:AB:60:ED:B3:66,-49,1711212743.6669893
2024-03-23 16:52:23.843583,E4:02:B8:34:EC:F3,-61,1711212743.8436108
-,-,-,-
2024-03-23 16:52:23.865288,F3:B0:D4:A4:42:E0,-67,1711212743.8653145
2024-03-23 16:52:24.091812,E9:71:D6:A6:52:19,-66,1711212744.091839
2024-03-23 16:52:24.333790,FA:A5:6E:E8:3D:9C,-67,1711212744.3338182
2024-03-23 16:52:24.680202,D7:AB:60:ED:B3:66,-49,1711212744.6802301
-,-,-,-
2024-03-23 16:52:24.716362,E4:02:B8:34:EC:F3,-60,1711212744.716388
2024-03-23 16:52:24.869305,F3:B0:D4:A4:42:E0,-71,1711212744.8693323
2024-03-23 16:52:25.101803,E9:71:D6:A6:52:19,-65,1711212745.1018312
2024-03-23 16:52:25.342773,FA:A5:6E:E8:3D:9C,-64,1711212745.3428004
-,-,-,-
2024-03-23 16:52:25.725810,E4:02:B8:34:EC:F3,-72,1711212745.7258387
2024-03-23 16:52:25.867842,F3:B0:D4:A4:42:E0,-64,1711212745.8678687
2024-03-23 16:52:26.111787,E9:71:D6:A6:52:19,-58,1711212746.1118155
2024-03-23 16:52:26.342820,FA:A5:6E:E8:3D:9C,-72,1711212746.3428478
-,-,-,-
2024-03-23 16:52:26.676861,D7:AB:60:ED:B3:66,-56,1711212746.6768894
2024-03-23 16:52:26.730274,E4:02:B8:34:EC:F3,-64,1711212746.7303016
2024-03-23 16:52:26.871686,F3:B0:D4:A4:42:E0,-66,1711212746.8717124
2024-03-23 16:52:27.113843,E9:71:D6:A6:52:19,-77,1711212747.1138701
-,-,-,-
2024-03-23 16:52:27.351709,FA:A5:6E:E8:3D:9C,-58,1711212747.3517375
2024-03-23 16:52:27.682952,D7:AB:60:ED:B3:66,-56,1711212747.6829798
2024-03-23 16:52:27.731396,E4:02:B8:34:EC:F3,-64,1711212747.7314403
2024-03-23 16:52:27.881934,F3:B0:D4:A4:42:E0,-59,1711212747.8819609
-,-,-,-
2024-03-23 16:52:28.220123,E9:71:D6:A6:52:19,-72,1711212748.220151
2024-03-23 16:52:28.360749,FA:A5:6E:E8:3D:9C,-53,1711212748.3607767
2024-03-23 16:52:28.684863,D7:AB:60:ED:B3:66,-51,1711212748.6848903
2024-03-23 16:52:28.732462,E4:02:B8:34:EC:F3,-62,1711212748.732489
-,-,-,-
2024-03-23 16:52:28.891253,F3:B0:D4:A4:42:E0,-61,1711212748.8912804
2024-03-23 16:52:29.127773,E9:71:D6:A6:52:19,-68,1711212749.1278
2024-03-23 16:52:29.369738,FA:A5:6E:E8:3D:9C,-66,1711212749.3697655
2024-03-23 16:52:29.684816,D7:AB:60:ED:B3:66,-51,1711212749.6848438
-,-,-,-
2024-03-23 16:52:29.738462,E4:02:B8:34:EC:F3,-69,1711212749.7384896
2024-03-23 16:52:29.896790,F3:B0:D4:A4:42:E0,-57,1711212749.8968174
2024-03-23 16:52:30.131779,E9:71:D6:A6:52:19,-59,1711212750.1318064
2024-03-23 16:52:30.378912,FA:A5:6E:E8:3D:9C,-63,1711212750.3789396
-,-,-,-
2024-03-23 16:52:30.690862,D7:AB:60:ED:B3:66,-53,1711212750.69089
2024-03-23 16:52:30.740990,E4:02:B8:34:EC:F3,-63,1711212750.7410173
2024-03-23 16:52:30.903896,F3:B0:D4:A4:42:E0,-53,1711212750.903924
2024-03-23 16:52:31.453307,FA:A5:6E:E8:3D:9C,-73,1711212751.4533343
-,-,-,-
2024-03-23 16:52:31.743857,E4:02:B8:34:EC:F3,-54,1711212751.743885
2024-03-23 16:52:31.904834,F3:B0:D4:A4:42:E0,-55,1711212751.9048607
2024-03-23 16:52:32.142915,E9:71:D6:A6:52:19,-60,1711212752.1429417
2024-03-23 16:52:32.392799,FA:A5:6E:E8:3D:9C,-58,1711212752.3928256
-,-,-,-
2024-03-23 16:52:32.710911,D7:AB:60:ED:B3:66,-66,1711212752.7109385
2024-03-23 16:52:32.753295,E4:02:B8:34:EC:F3,-57,1711212752.7533214
2024-03-23 16:52:32.907881,F3:B0:D4:A4:42:E0,-48,1711212752.907909
2024-03-23 16:52:33.151791,E9:71:D6:A6:52:19,-66,1711212753.151818
-,-,-,-
2024-03-23 16:52:33.395731,FA:A5:6E:E8:3D:9C,-59,1711212753.3957572
2024-03-23 16:52:33.751867,D7:AB:60:ED:B3:66,-65,1711212753.7518957
2024-03-23 16:52:33.755197,E4:02:B8:34:EC:F3,-66,1711212753.7552245
2024-03-23 16:52:33.956174,F3:B0:D4:A4:42:E0,-48,1711212753.956202
-,-,-,-
2024-03-23 16:52:34.157001,E9:71:D6:A6:52:19,-59,1711212754.1570277
2024-03-23 16:52:34.713916,D7:AB:60:ED:B3:66,-77,1711212754.7139432
2024-03-23 16:52:34.765373,E4:02:B8:34:EC:F3,-51,1711212754.7654006
2024-03-23 16:52:34.920903,F3:B0:D4:A4:42:E0,-57,1711212754.9209306
-,-,-,-
2024-03-23 16:52:35.160888,E9:71:D6:A6:52:19,-62,1711212755.1609151
2024-03-23 16:52:35.408259,FA:A5:6E:E8:3D:9C,-63,1711212755.408286
2024-03-23 16:52:35.719145,D7:AB:60:ED:B3:66,-69,1711212755.719173
2024-03-23 16:52:35.770260,E4:02:B8:34:EC:F3,-62,1711212755.7702882
-,-,-,-
2024-03-23 16:52:35.929253,F3:B0:D4:A4:42:E0,-40,1711212755.9292772
2024-03-23 16:52:36.169869,E9:71:D6:A6:52:19,-58,1711212756.1698964
2024-03-23 16:52:36.409881,FA:A5:6E:E8:3D:9C,-64,1711212756.4099088
2024-03-23 16:52:36.768224,D7:AB:60:ED:B3:66,-64,1711212756.7682514
-,-,-,-
2024-03-23 16:52:36.872638,E4:02:B8:34:EC:F3,-58,1711212756.872664
2024-03-23 16:52:36.931242,F3:B0:D4:A4:42:E0,-65,1711212756.9312694
2024-03-23 16:52:37.172501,E9:71:D6:A6:52:19,-70,1711212757.1725254
2024-03-23 16:52:37.413779,FA:A5:6E:E8:3D:9C,-72,1711212757.4138074
-,-,-,-
2024-03-23 16:52:37.718401,D7:AB:60:ED:B3:66,-65,1711212757.7184265
2024-03-23 16:52:37.828409,E4:02:B8:34:EC:F3,-54,1711212757.8284373
2024-03-23 16:52:37.938251,F3:B0:D4:A4:42:E0,-62,1711212757.9382782
2024-03-23 16:52:38.176860,E9:71:D6:A6:52:19,-58,1711212758.1768885
-,-,-,-
2024-03-23 16:52:38.457299,FA:A5:6E:E8:3D:9C,-65,1711212758.4573271
2024-03-23 16:52:38.724017,D7:AB:60:ED:B3:66,-64,1711212758.7240443
2024-03-23 16:52:38.787004,E4:02:B8:34:EC:F3,-58,1711212758.7870317
2024-03-23 16:52:38.939833,F3:B0:D4:A4:42:E0,-56,1711212758.9398606
-,-,-,-
2024-03-23 16:52:39.177933,E9:71:D6:A6:52:19,-54,1711212759.17796
