datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 18:13:50.525540,D7:AB:60:ED:B3:66,-61,1711217630.5255606
2024-03-23 18:13:51.010218,E9:71:D6:A6:52:19,-66,1711217631.0102363
2024-03-23 18:13:51.013608,E4:02:B8:34:EC:F3,-52,1711217631.013627
2024-03-23 18:13:51.092477,FA:A5:6E:E8:3D:9C,-47,1711217631.0924945
-,-,-,-
2024-03-23 18:13:51.295349,EE:93:45:01:28:95,-59,1711217631.295368
2024-03-23 18:13:51.528292,D7:AB:60:ED:B3:66,-61,1711217631.52831
2024-03-23 18:13:51.826309,F3:B0:D4:A4:42:E0,-63,1711217631.8263268
2024-03-23 18:13:51.961151,E9:71:D6:A6:52:19,-68,1711217631.9611695
-,-,-,-
2024-03-23 18:13:52.016852,E4:02:B8:34:EC:F3,-59,1711217632.0168693
2024-03-23 18:13:52.095317,FA:A5:6E:E8:3D:9C,-57,1711217632.095335
2024-03-23 18:13:52.384345,EE:93:45:01:28:95,-54,1711217632.3843634
2024-03-23 18:13:52.536089,D7:AB:60:ED:B3:66,-59,1711217632.5361168
-,-,-,-
2024-03-23 18:13:52.830014,F3:B0:D4:A4:42:E0,-60,1711217632.8300438
2024-03-23 18:13:52.962087,E9:71:D6:A6:52:19,-79,1711217632.962115
2024-03-23 18:13:53.101241,FA:A5:6E:E8:3D:9C,-51,1711217633.1012692
2024-03-23 18:13:53.304039,EE:93:45:01:28:95,-56,1711217633.3040671
-,-,-,-
2024-03-23 18:13:53.544988,D7:AB:60:ED:B3:66,-80,1711217633.5450156
2024-03-23 18:13:53.834367,F3:B0:D4:A4:42:E0,-65,1711217633.8343966
2024-03-23 18:13:53.963995,E9:71:D6:A6:52:19,-73,1711217633.9640229
2024-03-23 18:13:54.030434,E4:02:B8:34:EC:F3,-65,1711217634.0304625
-,-,-,-
2024-03-23 18:13:54.110214,FA:A5:6E:E8:3D:9C,-52,1711217634.1102417
2024-03-23 18:13:54.302402,EE:93:45:01:28:95,-63,1711217634.3024273
2024-03-23 18:13:54.564448,D7:AB:60:ED:B3:66,-70,1711217634.5644763
