datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 16:14:19.336078,FA:A5:6E:E8:3D:9C,-48,1711210459.3360975
2024-03-23 16:14:19.714775,E4:02:B8:34:EC:F3,-66,1711210459.7147927
2024-03-23 16:14:20.014237,F3:B0:D4:A4:42:E0,-63,1711210460.0142555
-,-,-,-
2024-03-23 16:14:20.062966,E9:71:D6:A6:52:19,-70,1711210460.0629842
2024-03-23 16:14:20.343274,FA:A5:6E:E8:3D:9C,-51,1711210460.3432918
2024-03-23 16:14:20.715317,E4:02:B8:34:EC:F3,-61,1711210460.7153358
-,-,-,-
2024-03-23 16:14:20.764089,D7:AB:60:ED:B3:66,-64,1711210460.764107
2024-03-23 16:14:21.018265,F3:B0:D4:A4:42:E0,-64,1711210461.0182817
2024-03-23 16:14:21.104348,E9:71:D6:A6:52:19,-65,1711210461.1043723
-,-,-,-
2024-03-23 16:14:21.348173,FA:A5:6E:E8:3D:9C,-57,1711210461.3482
2024-03-23 16:14:21.723603,E4:02:B8:34:EC:F3,-61,1711210461.7236304
2024-03-23 16:14:21.772373,D7:AB:60:ED:B3:66,-75,1711210461.772401
-,-,-,-
2024-03-23 16:14:22.023827,F3:B0:D4:A4:42:E0,-71,1711210462.0238526
2024-03-23 16:14:22.076862,E9:71:D6:A6:52:19,-63,1711210462.0768874
2024-03-23 16:14:22.352244,FA:A5:6E:E8:3D:9C,-51,1711210462.3522727
-,-,-,-
2024-03-23 16:14:22.732453,E4:02:B8:34:EC:F3,-61,1711210462.7324805
2024-03-23 16:14:22.774587,D7:AB:60:ED:B3:66,-72,1711210462.774615
2024-03-23 16:14:23.078283,E9:71:D6:A6:52:19,-65,1711210463.078311
-,-,-,-
2024-03-23 16:14:23.736205,E4:02:B8:34:EC:F3,-67,1711210463.7362337
2024-03-23 16:14:24.035129,F3:B0:D4:A4:42:E0,-62,1711210464.035156
2024-03-23 16:14:24.361361,FA:A5:6E:E8:3D:9C,-51,1711210464.3613887
-,-,-,-
2024-03-23 16:14:24.736252,E4:02:B8:34:EC:F3,-61,1711210464.7362797
2024-03-23 16:14:24.780205,D7:AB:60:ED:B3:66,-52,1711210464.7802322
2024-03-23 16:14:25.037359,F3:B0:D4:A4:42:E0,-62,1711210465.0373867
-,-,-,-
2024-03-23 16:14:25.084245,E9:71:D6:A6:52:19,-76,1711210465.084273
2024-03-23 16:14:25.366687,FA:A5:6E:E8:3D:9C,-53,1711210465.3667119
2024-03-23 16:14:25.737233,E4:02:B8:34:EC:F3,-61,1711210465.7372606
-,-,-,-
2024-03-23 16:14:25.781854,D7:AB:60:ED:B3:66,-49,1711210465.7818813
2024-03-23 16:14:26.043190,F3:B0:D4:A4:42:E0,-56,1711210466.043218
2024-03-23 16:14:26.093683,E9:71:D6:A6:52:19,-80,1711210466.0937107
-,-,-,-
2024-03-23 16:14:26.374310,FA:A5:6E:E8:3D:9C,-57,1711210466.3743374
2024-03-23 16:14:26.744225,E4:02:B8:34:EC:F3,-59,1711210466.7442527
2024-03-23 16:14:26.787295,D7:AB:60:ED:B3:66,-50,1711210466.7873232
-,-,-,-
2024-03-23 16:14:27.097277,E9:71:D6:A6:52:19,-67,1711210467.0973043
2024-03-23 16:14:27.381344,FA:A5:6E:E8:3D:9C,-62,1711210467.3813722
2024-03-23 16:14:27.751205,E4:02:B8:34:EC:F3,-61,1711210467.7512329
-,-,-,-
2024-03-23 16:14:28.047461,F3:B0:D4:A4:42:E0,-69,1711210468.0474887
2024-03-23 16:14:28.231832,E9:71:D6:A6:52:19,-54,1711210468.2318602
2024-03-23 16:14:28.382373,FA:A5:6E:E8:3D:9C,-59,1711210468.3824012
-,-,-,-
2024-03-23 16:14:28.753371,E4:02:B8:34:EC:F3,-57,1711210468.7533984
2024-03-23 16:14:28.794733,D7:AB:60:ED:B3:66,-44,1711210468.794761
2024-03-23 16:14:29.052371,F3:B0:D4:A4:42:E0,-69,1711210469.0523992
-,-,-,-
2024-03-23 16:14:29.107912,E9:71:D6:A6:52:19,-63,1711210469.1079385
2024-03-23 16:14:29.391281,FA:A5:6E:E8:3D:9C,-63,1711210469.391309
2024-03-23 16:14:29.757431,E4:02:B8:34:EC:F3,-60,1711210469.7574587
-,-,-,-
2024-03-23 16:14:29.798891,D7:AB:60:ED:B3:66,-53,1711210469.798919
2024-03-23 16:14:30.054757,F3:B0:D4:A4:42:E0,-75,1711210470.0547812
2024-03-23 16:14:30.109239,E9:71:D6:A6:52:19,-62,1711210470.1092634
-,-,-,-
2024-03-23 16:14:30.766327,E4:02:B8:34:EC:F3,-62,1711210470.7663553
2024-03-23 16:14:31.055339,F3:B0:D4:A4:42:E0,-71,1711210471.0553677
2024-03-23 16:14:31.113481,E9:71:D6:A6:52:19,-59,1711210471.113509
-,-,-,-
2024-03-23 16:14:31.408718,FA:A5:6E:E8:3D:9C,-58,1711210471.4087422
2024-03-23 16:14:31.813564,D7:AB:60:ED:B3:66,-55,1711210471.813591
2024-03-23 16:14:32.059691,F3:B0:D4:A4:42:E0,-60,1711210472.0597153
-,-,-,-
2024-03-23 16:14:32.415382,FA:A5:6E:E8:3D:9C,-64,1711210472.415409
2024-03-23 16:14:32.769407,E4:02:B8:34:EC:F3,-58,1711210472.7694354
2024-03-23 16:14:33.062275,F3:B0:D4:A4:42:E0,-60,1711210473.0623033
-,-,-,-
2024-03-23 16:14:33.125504,E9:71:D6:A6:52:19,-59,1711210473.1255317
2024-03-23 16:14:33.420323,FA:A5:6E:E8:3D:9C,-62,1711210473.4203506
2024-03-23 16:14:33.772702,E4:02:B8:34:EC:F3,-59,1711210473.772726
-,-,-,-
2024-03-23 16:14:33.831494,D7:AB:60:ED:B3:66,-56,1711210473.8315187
2024-03-23 16:14:34.066374,F3:B0:D4:A4:42:E0,-57,1711210474.0664008
2024-03-23 16:14:34.422704,FA:A5:6E:E8:3D:9C,-59,1711210474.4227293
-,-,-,-
2024-03-23 16:14:34.872834,E4:02:B8:34:EC:F3,-63,1711210474.8728614
2024-03-23 16:14:35.084116,F3:B0:D4:A4:42:E0,-59,1711210475.0841424
2024-03-23 16:14:35.133835,E9:71:D6:A6:52:19,-62,1711210475.1338603
-,-,-,-
2024-03-23 16:14:35.499755,FA:A5:6E:E8:3D:9C,-65,1711210475.499782
2024-03-23 16:14:35.782433,E4:02:B8:34:EC:F3,-53,1711210475.782461
2024-03-23 16:14:35.823413,D7:AB:60:ED:B3:66,-56,1711210475.8234415
-,-,-,-
2024-03-23 16:14:36.119709,F3:B0:D4:A4:42:E0,-57,1711210476.1197376
2024-03-23 16:14:36.435251,FA:A5:6E:E8:3D:9C,-82,1711210476.4352791
2024-03-23 16:14:36.791290,E4:02:B8:34:EC:F3,-59,1711210476.7913175
-,-,-,-
2024-03-23 16:14:37.075662,F3:B0:D4:A4:42:E0,-60,1711210477.0756876
