datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 16:28:39.299736,F3:B0:D4:A4:42:E0,-49,1711211319.2997556
2024-03-23 16:28:39.984733,D7:AB:60:ED:B3:66,-52,1711211319.9847515
2024-03-23 16:28:40.704744,FA:A5:6E:E8:3D:9C,-41,1711211320.7047622
-,-,-,-
2024-03-23 16:28:41.981244,E4:02:B8:34:EC:F3,-65,1711211321.9812722
2024-03-23 16:28:46.066934,E9:71:D6:A6:52:19,-58,1711211326.0669634
2024-03-23 16:29:14.377894,E9:71:D6:A6:52:19,-68,1711211354.377914
2024-03-23 16:29:15.028527,D7:AB:60:ED:B3:66,-65,1711211355.0285444
2024-03-23 16:29:15.133489,E4:02:B8:34:EC:F3,-61,1711211355.133507
-,-,-,-
2024-03-23 16:29:15.235423,F3:B0:D4:A4:42:E0,-59,1711211355.2354412
2024-03-23 16:29:15.442655,E9:71:D6:A6:52:19,-80,1711211355.4426732
2024-03-23 16:29:15.673408,FA:A5:6E:E8:3D:9C,-57,1711211355.673426
-,-,-,-
2024-03-23 16:29:16.029564,D7:AB:60:ED:B3:66,-62,1711211356.0295818
2024-03-23 16:29:16.133698,E4:02:B8:34:EC:F3,-63,1711211356.133716
2024-03-23 16:29:16.244578,F3:B0:D4:A4:42:E0,-59,1711211356.2446046
-,-,-,-
2024-03-23 16:29:16.483582,E9:71:D6:A6:52:19,-68,1711211356.4836106
2024-03-23 16:29:16.699520,FA:A5:6E:E8:3D:9C,-51,1711211356.699547
2024-03-23 16:29:17.123635,D7:AB:60:ED:B3:66,-65,1711211357.1236637
-,-,-,-
2024-03-23 16:29:17.250901,F3:B0:D4:A4:42:E0,-63,1711211357.2509284
2024-03-23 16:29:17.388858,E9:71:D6:A6:52:19,-68,1711211357.3888853
2024-03-23 16:29:18.041342,D7:AB:60:ED:B3:66,-67,1711211358.04137
-,-,-,-
2024-03-23 16:29:18.146440,E4:02:B8:34:EC:F3,-58,1711211358.146467
2024-03-23 16:29:18.393337,E9:71:D6:A6:52:19,-68,1711211358.393364
2024-03-23 16:29:18.686437,FA:A5:6E:E8:3D:9C,-75,1711211358.6864645
-,-,-,-
2024-03-23 16:29:19.042329,D7:AB:60:ED:B3:66,-65,1711211359.0423563
2024-03-23 16:29:19.149432,E4:02:B8:34:EC:F3,-61,1711211359.1494586
2024-03-23 16:29:19.258418,F3:B0:D4:A4:42:E0,-64,1711211359.2584455
-,-,-,-
2024-03-23 16:29:19.403443,E9:71:D6:A6:52:19,-68,1711211359.4034717
2024-03-23 16:29:19.690362,FA:A5:6E:E8:3D:9C,-57,1711211359.6903906
2024-03-23 16:29:20.047523,D7:AB:60:ED:B3:66,-63,1711211360.0475502
-,-,-,-
2024-03-23 16:29:20.151562,E4:02:B8:34:EC:F3,-63,1711211360.1515892
2024-03-23 16:29:20.259799,F3:B0:D4:A4:42:E0,-60,1711211360.2598243
2024-03-23 16:29:20.407780,E9:71:D6:A6:52:19,-81,1711211360.407805
-,-,-,-
2024-03-23 16:29:20.698232,FA:A5:6E:E8:3D:9C,-57,1711211360.6982598
2024-03-23 16:29:21.106847,D7:AB:60:ED:B3:66,-68,1711211361.1068747
2024-03-23 16:29:21.154843,E4:02:B8:34:EC:F3,-59,1711211361.1548707
-,-,-,-
2024-03-23 16:29:21.261736,F3:B0:D4:A4:42:E0,-63,1711211361.2617633
2024-03-23 16:29:21.410132,E9:71:D6:A6:52:19,-69,1711211361.410157
2024-03-23 16:29:21.705343,FA:A5:6E:E8:3D:9C,-51,1711211361.7053702
-,-,-,-
2024-03-23 16:29:22.062379,D7:AB:60:ED:B3:66,-68,1711211362.0624053
2024-03-23 16:29:22.159330,E4:02:B8:34:EC:F3,-59,1711211362.1593575
2024-03-23 16:29:22.265419,F3:B0:D4:A4:42:E0,-64,1711211362.2654462
-,-,-,-
2024-03-23 16:29:22.412412,E9:71:D6:A6:52:19,-69,1711211362.4124398
2024-03-23 16:29:23.070379,D7:AB:60:ED:B3:66,-68,1711211363.0704064
2024-03-23 16:29:23.267592,E4:02:B8:34:EC:F3,-62,1711211363.2676194
-,-,-,-
2024-03-23 16:29:23.273032,F3:B0:D4:A4:42:E0,-60,1711211363.2730572
2024-03-23 16:29:23.415452,E9:71:D6:A6:52:19,-80,1711211363.415478
2024-03-23 16:29:24.072361,D7:AB:60:ED:B3:66,-65,1711211364.0723891
-,-,-,-
2024-03-23 16:29:24.165387,E4:02:B8:34:EC:F3,-63,1711211364.1654136
2024-03-23 16:29:24.277870,F3:B0:D4:A4:42:E0,-60,1711211364.2778945
2024-03-23 16:29:24.416866,E9:71:D6:A6:52:19,-69,1711211364.4168906
-,-,-,-
2024-03-23 16:29:24.715290,FA:A5:6E:E8:3D:9C,-57,1711211364.7153172
2024-03-23 16:29:25.076551,D7:AB:60:ED:B3:66,-66,1711211365.0765789
