datetime_utc,address,rssi,timestamp_in_seconds
2024-03-02 17:48:56.644724,E9:71:D6:A6:52:19,-51,1709401736.6447432
2024-03-02 17:48:56.720989,D7:AB:60:ED:B3:66,-63,1709401736.7210073
2024-03-02 17:48:57.645921,E9:71:D6:A6:52:19,-54,1709401737.645939
2024-03-02 17:48:57.704079,D7:AB:60:ED:B3:66,-66,1709401737.7040968
2024-03-02 17:48:57.949712,FA:A5:6E:E8:3D:9C,-73,1709401737.9497302
-,-,-,-
2024-03-02 17:48:58.651948,E9:71:D6:A6:52:19,-56,1709401738.651976
2024-03-02 17:48:58.710577,D7:AB:60:ED:B3:66,-63,1709401738.7106042
2024-03-02 17:48:58.949387,FA:A5:6E:E8:3D:9C,-65,1709401738.9494119
-,-,-,-
2024-03-02 17:48:59.651730,E9:71:D6:A6:52:19,-70,1709401739.6517584
2024-03-02 17:48:59.715175,D7:AB:60:ED:B3:66,-74,1709401739.7152026
2024-03-02 17:48:59.951782,FA:A5:6E:E8:3D:9C,-58,1709401739.95181
-,-,-,-
2024-03-02 17:49:00.661863,E9:71:D6:A6:52:19,-57,1709401740.6618907
2024-03-02 17:49:00.951753,D7:AB:60:ED:B3:66,-54,1709401740.9517817
2024-03-02 17:49:00.955050,FA:A5:6E:E8:3D:9C,-59,1709401740.9550774
-,-,-,-
2024-03-02 17:49:01.668277,E9:71:D6:A6:52:19,-69,1709401741.6683044
2024-03-02 17:49:01.725125,D7:AB:60:ED:B3:66,-59,1709401741.7251523
2024-03-02 17:49:01.961596,FA:A5:6E:E8:3D:9C,-68,1709401741.961621
-,-,-,-
2024-03-02 17:49:02.670590,E9:71:D6:A6:52:19,-89,1709401742.6706173
2024-03-02 17:49:02.732229,D7:AB:60:ED:B3:66,-63,1709401742.7322586
2024-03-02 17:49:02.963261,FA:A5:6E:E8:3D:9C,-61,1709401742.9632878
-,-,-,-
2024-03-02 17:49:03.679727,E9:71:D6:A6:52:19,-65,1709401743.6797547
2024-03-02 17:49:03.732116,D7:AB:60:ED:B3:66,-57,1709401743.7321436
2024-03-02 17:49:03.973082,FA:A5:6E:E8:3D:9C,-63,1709401743.9731088
-,-,-,-
2024-03-02 17:49:04.682642,E9:71:D6:A6:52:19,-62,1709401744.6826692
2024-03-02 17:49:04.736524,D7:AB:60:ED:B3:66,-54,1709401744.7365508
2024-03-02 17:49:04.977143,FA:A5:6E:E8:3D:9C,-65,1709401744.9771705
-,-,-,-
2024-03-02 17:49:05.684693,E9:71:D6:A6:52:19,-63,1709401745.6847215
2024-03-02 17:49:05.742156,D7:AB:60:ED:B3:66,-51,1709401745.7421846
2024-03-02 17:49:05.986859,FA:A5:6E:E8:3D:9C,-59,1709401745.9868872
-,-,-,-
2024-03-02 17:49:06.688835,E9:71:D6:A6:52:19,-79,1709401746.688863
2024-03-02 17:49:06.750176,D7:AB:60:ED:B3:66,-45,1709401746.7502038
2024-03-02 17:49:06.996877,FA:A5:6E:E8:3D:9C,-71,1709401746.9969044
-,-,-,-
2024-03-02 17:49:07.695729,E9:71:D6:A6:52:19,-71,1709401747.695757
2024-03-02 17:49:07.752276,D7:AB:60:ED:B3:66,-57,1709401747.7523036
2024-03-02 17:49:07.996776,FA:A5:6E:E8:3D:9C,-62,1709401747.996803
-,-,-,-
2024-03-02 17:49:08.698593,E9:71:D6:A6:52:19,-63,1709401748.6986196
2024-03-02 17:49:09.001831,FA:A5:6E:E8:3D:9C,-60,1709401749.0018578
2024-03-02 17:49:09.761796,D7:AB:60:ED:B3:66,-58,1709401749.761823
-,-,-,-
2024-03-02 17:49:10.008285,FA:A5:6E:E8:3D:9C,-65,1709401750.0083117
2024-03-02 17:49:10.763679,D7:AB:60:ED:B3:66,-41,1709401750.7637074
2024-03-02 17:49:11.013661,FA:A5:6E:E8:3D:9C,-76,1709401751.0136883
2024-03-02 17:49:11.760700,E9:71:D6:A6:52:19,-64,1709401751.7607274
-,-,-,-
2024-03-02 17:49:11.765967,D7:AB:60:ED:B3:66,-64,1709401751.7659926
2024-03-02 17:49:12.031707,FA:A5:6E:E8:3D:9C,-60,1709401752.0317357
2024-03-02 17:49:12.710768,E9:71:D6:A6:52:19,-73,1709401752.7107952
-,-,-,-
2024-03-02 17:49:13.778688,D7:AB:60:ED:B3:66,-62,1709401753.778716
2024-03-02 17:49:14.023763,FA:A5:6E:E8:3D:9C,-65,1709401754.0237908
2024-03-02 17:49:14.724978,E9:71:D6:A6:52:19,-68,1709401754.7250066
-,-,-,-
2024-03-02 17:49:14.790320,D7:AB:60:ED:B3:66,-57,1709401754.7903478
2024-03-02 17:49:15.029155,FA:A5:6E:E8:3D:9C,-68,1709401755.0291827
2024-03-02 17:49:15.724678,E9:71:D6:A6:52:19,-64,1709401755.7247052
-,-,-,-
2024-03-02 17:49:15.792334,D7:AB:60:ED:B3:66,-48,1709401755.792363
2024-03-02 17:49:16.032151,FA:A5:6E:E8:3D:9C,-69,1709401756.0321786
2024-03-02 17:49:16.725778,E9:71:D6:A6:52:19,-63,1709401756.7258055
-,-,-,-
2024-03-02 17:49:16.796333,D7:AB:60:ED:B3:66,-57,1709401756.7963607
2024-03-02 17:49:17.035811,FA:A5:6E:E8:3D:9C,-52,1709401757.0358386
2024-03-02 17:49:17.727957,E9:71:D6:A6:52:19,-57,1709401757.7279847
-,-,-,-
2024-03-02 17:49:17.805258,D7:AB:60:ED:B3:66,-60,1709401757.8052857
2024-03-02 17:49:18.042214,FA:A5:6E:E8:3D:9C,-63,1709401758.0422423
2024-03-02 17:49:18.756963,E9:71:D6:A6:52:19,-66,1709401758.756992
-,-,-,-
2024-03-02 17:49:18.812166,D7:AB:60:ED:B3:66,-63,1709401758.8121934
2024-03-02 17:49:19.044697,FA:A5:6E:E8:3D:9C,-64,1709401759.0447237
2024-03-02 17:49:19.772733,E9:71:D6:A6:52:19,-54,1709401759.7727613
-,-,-,-
2024-03-02 17:49:19.819730,D7:AB:60:ED:B3:66,-65,1709401759.8197572
2024-03-02 17:49:20.081198,FA:A5:6E:E8:3D:9C,-64,1709401760.0812232
2024-03-02 17:49:20.739699,E9:71:D6:A6:52:19,-58,1709401760.739727
-,-,-,-
2024-03-02 17:49:20.821298,D7:AB:60:ED:B3:66,-60,1709401760.8213875
2024-03-02 17:49:21.057730,FA:A5:6E:E8:3D:9C,-65,1709401761.0577595
2024-03-02 17:49:21.744675,E9:71:D6:A6:52:19,-57,1709401761.744703
-,-,-,-
2024-03-02 17:49:21.827225,D7:AB:60:ED:B3:66,-53,1709401761.8272536
2024-03-02 17:49:22.062800,FA:A5:6E:E8:3D:9C,-61,1709401762.0628276
2024-03-02 17:49:23.070649,FA:A5:6E:E8:3D:9C,-69,1709401763.0706778
2024-03-02 17:49:23.748032,E9:71:D6:A6:52:19,-53,1709401763.7480602
-,-,-,-
2024-03-02 17:49:23.839767,D7:AB:60:ED:B3:66,-63,1709401763.8397942
2024-03-02 17:49:24.073631,FA:A5:6E:E8:3D:9C,-63,1709401764.0736587
2024-03-02 17:49:24.808665,E9:71:D6:A6:52:19,-70,1709401764.8086934
-,-,-,-
2024-03-02 17:49:24.847723,D7:AB:60:ED:B3:66,-63,1709401764.8477495
2024-03-02 17:49:25.082833,FA:A5:6E:E8:3D:9C,-70,1709401765.0828617
2024-03-02 17:49:25.758664,E9:71:D6:A6:52:19,-62,1709401765.758691
-,-,-,-
2024-03-02 17:49:25.851690,D7:AB:60:ED:B3:66,-58,1709401765.8517177
2024-03-02 17:49:26.089006,FA:A5:6E:E8:3D:9C,-71,1709401766.089031
2024-03-02 17:49:26.860646,D7:AB:60:ED:B3:66,-65,1709401766.8606734
2024-03-02 17:49:27.101588,FA:A5:6E:E8:3D:9C,-68,1709401767.101616
2024-03-02 17:49:27.777917,E9:71:D6:A6:52:19,-62,1709401767.7779438
-,-,-,-
2024-03-02 17:49:27.867699,D7:AB:60:ED:B3:66,-66,1709401767.867725
2024-03-02 17:49:28.775167,E9:71:D6:A6:52:19,-72,1709401768.7751908
2024-03-02 17:49:29.104637,FA:A5:6E:E8:3D:9C,-75,1709401769.1046648
-,-,-,-
2024-03-02 17:49:29.780911,E9:71:D6:A6:52:19,-66,1709401769.7809398
2024-03-02 17:49:29.880966,D7:AB:60:ED:B3:66,-66,1709401769.8809938
2024-03-02 17:49:30.113574,FA:A5:6E:E8:3D:9C,-70,1709401770.1136024
-,-,-,-
2024-03-02 17:49:30.783867,E9:71:D6:A6:52:19,-72,1709401770.783895
2024-03-02 17:49:30.881897,D7:AB:60:ED:B3:66,-69,1709401770.881934
2024-03-02 17:49:31.118149,FA:A5:6E:E8:3D:9C,-66,1709401771.1181734
-,-,-,-
