datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 18:38:41.689805,D7:AB:60:ED:B3:66,-57,1711219121.6898234
2024-03-23 18:38:41.781190,EE:93:45:01:28:95,-69,1711219121.7812088
2024-03-23 18:38:41.914879,F3:B0:D4:A4:42:E0,-59,1711219121.9148972
2024-03-23 18:38:42.285748,E4:02:B8:34:EC:F3,-64,1711219122.2857661
-,-,-,-
2024-03-23 18:38:42.482750,E9:71:D6:A6:52:19,-71,1711219122.4827669
2024-03-23 18:38:42.569160,FA:A5:6E:E8:3D:9C,-49,1711219122.5691786
2024-03-23 18:38:42.690904,D7:AB:60:ED:B3:66,-54,1711219122.6909218
2024-03-23 18:38:42.789077,EE:93:45:01:28:95,-69,1711219122.789096
-,-,-,-
2024-03-23 18:38:42.916427,F3:B0:D4:A4:42:E0,-57,1711219122.9164438
2024-03-23 18:38:43.486898,E9:71:D6:A6:52:19,-62,1711219123.4869156
2024-03-23 18:38:43.570746,FA:A5:6E:E8:3D:9C,-45,1711219123.5707746
2024-03-23 18:38:43.699795,D7:AB:60:ED:B3:66,-55,1711219123.6998224
-,-,-,-
2024-03-23 18:38:43.798224,EE:93:45:01:28:95,-69,1711219123.798249
2024-03-23 18:38:43.916284,F3:B0:D4:A4:42:E0,-60,1711219123.9163084
2024-03-23 18:38:44.496896,E9:71:D6:A6:52:19,-63,1711219124.496924
2024-03-23 18:38:44.709737,D7:AB:60:ED:B3:66,-56,1711219124.7097647
-,-,-,-
2024-03-23 18:38:44.801969,EE:93:45:01:28:95,-59,1711219124.801997
2024-03-23 18:38:44.924989,F3:B0:D4:A4:42:E0,-60,1711219124.9250162
2024-03-23 18:38:45.298704,E4:02:B8:34:EC:F3,-60,1711219125.298733
2024-03-23 18:38:45.548088,E9:71:D6:A6:52:19,-72,1711219125.5481153
-,-,-,-
2024-03-23 18:38:45.652501,FA:A5:6E:E8:3D:9C,-49,1711219125.6525273
2024-03-23 18:38:45.712071,D7:AB:60:ED:B3:66,-65,1711219125.7120998
2024-03-23 18:38:45.808985,EE:93:45:01:28:95,-58,1711219125.809012
2024-03-23 18:38:45.929123,F3:B0:D4:A4:42:E0,-59,1711219125.9291499
-,-,-,-
2024-03-23 18:38:46.308736,E4:02:B8:34:EC:F3,-61,1711219126.308764
2024-03-23 18:38:46.580663,E9:71:D6:A6:52:19,-62,1711219126.580691
2024-03-23 18:38:46.583642,FA:A5:6E:E8:3D:9C,-49,1711219126.5836692
2024-03-23 18:38:46.716246,D7:AB:60:ED:B3:66,-57,1711219126.7162707
-,-,-,-
2024-03-23 18:38:46.808823,EE:93:45:01:28:95,-69,1711219126.8088489
2024-03-23 18:38:47.308943,E4:02:B8:34:EC:F3,-66,1711219127.308971
2024-03-23 18:38:47.502716,E9:71:D6:A6:52:19,-63,1711219127.5027444
2024-03-23 18:38:47.718756,D7:AB:60:ED:B3:66,-56,1711219127.7187843
-,-,-,-
2024-03-23 18:38:47.944755,F3:B0:D4:A4:42:E0,-58,1711219127.9447827
2024-03-23 18:38:48.318817,E4:02:B8:34:EC:F3,-65,1711219128.3188446
2024-03-23 18:38:48.579067,E9:71:D6:A6:52:19,-72,1711219128.5790954
2024-03-23 18:38:48.783995,D7:AB:60:ED:B3:66,-65,1711219128.7840223
-,-,-,-
2024-03-23 18:38:48.823174,EE:93:45:01:28:95,-59,1711219128.823202
2024-03-23 18:38:48.953805,F3:B0:D4:A4:42:E0,-57,1711219128.9538324
2024-03-23 18:38:49.326844,E4:02:B8:34:EC:F3,-72,1711219129.3268714
2024-03-23 18:38:49.518664,E9:71:D6:A6:52:19,-69,1711219129.5186913
-,-,-,-
2024-03-23 18:38:49.600294,FA:A5:6E:E8:3D:9C,-57,1711219129.6003208
2024-03-23 18:38:49.823445,D7:AB:60:ED:B3:66,-57,1711219129.8234706
2024-03-23 18:38:49.828410,EE:93:45:01:28:95,-58,1711219129.8284338
2024-03-23 18:38:49.952808,F3:B0:D4:A4:42:E0,-60,1711219129.9528363
-,-,-,-
2024-03-23 18:38:50.331900,E4:02:B8:34:EC:F3,-63,1711219130.331927
2024-03-23 18:38:50.527765,E9:71:D6:A6:52:19,-67,1711219130.5277932
2024-03-23 18:38:50.600891,FA:A5:6E:E8:3D:9C,-47,1711219130.6009195
2024-03-23 18:38:50.729800,D7:AB:60:ED:B3:66,-57,1711219130.7298281
-,-,-,-
2024-03-23 18:38:50.826402,EE:93:45:01:28:95,-68,1711219130.8264263
2024-03-23 18:38:51.340733,E4:02:B8:34:EC:F3,-65,1711219131.34076
2024-03-23 18:38:51.529688,E9:71:D6:A6:52:19,-67,1711219131.5297155
2024-03-23 18:38:51.609753,FA:A5:6E:E8:3D:9C,-49,1711219131.6097808
-,-,-,-
2024-03-23 18:38:51.830746,EE:93:45:01:28:95,-69,1711219131.830774
2024-03-23 18:38:51.960156,F3:B0:D4:A4:42:E0,-60,1711219131.9601843
2024-03-23 18:38:52.348948,E4:02:B8:34:EC:F3,-72,1711219132.3489754
2024-03-23 18:38:52.530762,E9:71:D6:A6:52:19,-68,1711219132.5307891
-,-,-,-
2024-03-23 18:38:52.616909,FA:A5:6E:E8:3D:9C,-48,1711219132.6169372
2024-03-23 18:38:52.733880,D7:AB:60:ED:B3:66,-56,1711219132.733908
2024-03-23 18:38:52.961813,F3:B0:D4:A4:42:E0,-58,1711219132.9618413
