datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 18:29:50.381256,F3:B0:D4:A4:42:E0,-62,1711218590.3812754
2024-03-23 18:29:50.662298,E4:02:B8:34:EC:F3,-51,1711218590.662316
2024-03-23 18:29:50.744625,E9:71:D6:A6:52:19,-59,1711218590.7446427
2024-03-23 18:29:51.106274,EE:93:45:01:28:95,-68,1711218591.106291
-,-,-,-
2024-03-23 18:29:51.377474,F3:B0:D4:A4:42:E0,-56,1711218591.3774915
2024-03-23 18:29:51.667315,E4:02:B8:34:EC:F3,-48,1711218591.667333
2024-03-23 18:29:51.749368,E9:71:D6:A6:52:19,-64,1711218591.7493854
2024-03-23 18:29:51.838567,FA:A5:6E:E8:3D:9C,-66,1711218591.8385847
-,-,-,-
2024-03-23 18:29:52.063581,EE:93:45:01:28:95,-70,1711218592.0636108
2024-03-23 18:29:52.132943,D7:AB:60:ED:B3:66,-63,1711218592.1329706
2024-03-23 18:29:52.676206,E4:02:B8:34:EC:F3,-51,1711218592.6762323
2024-03-23 18:29:52.755605,E9:71:D6:A6:52:19,-70,1711218592.7556334
-,-,-,-
2024-03-23 18:29:52.842283,FA:A5:6E:E8:3D:9C,-63,1711218592.8423104
2024-03-23 18:29:53.066593,EE:93:45:01:28:95,-66,1711218593.0666165
2024-03-23 18:29:53.136336,D7:AB:60:ED:B3:66,-69,1711218593.136364
2024-03-23 18:29:53.391147,F3:B0:D4:A4:42:E0,-70,1711218593.3911736
-,-,-,-
2024-03-23 18:29:53.676220,E4:02:B8:34:EC:F3,-48,1711218593.676248
2024-03-23 18:29:53.761224,E9:71:D6:A6:52:19,-58,1711218593.761251
2024-03-23 18:29:53.850212,FA:A5:6E:E8:3D:9C,-64,1711218593.8502398
2024-03-23 18:29:54.075111,EE:93:45:01:28:95,-80,1711218594.0751383
-,-,-,-
2024-03-23 18:29:54.391212,F3:B0:D4:A4:42:E0,-71,1711218594.3912394
2024-03-23 18:29:54.679116,E4:02:B8:34:EC:F3,-56,1711218594.6791432
2024-03-23 18:29:54.764204,E9:71:D6:A6:52:19,-68,1711218594.764231
2024-03-23 18:29:54.851621,FA:A5:6E:E8:3D:9C,-71,1711218594.851648
-,-,-,-
2024-03-23 18:29:55.079107,EE:93:45:01:28:95,-68,1711218595.0791345
2024-03-23 18:29:55.152566,D7:AB:60:ED:B3:66,-62,1711218595.152592
2024-03-23 18:29:55.393112,F3:B0:D4:A4:42:E0,-64,1711218595.3931386
2024-03-23 18:29:55.688401,E4:02:B8:34:EC:F3,-58,1711218595.6884289
-,-,-,-
2024-03-23 18:29:55.771263,E9:71:D6:A6:52:19,-53,1711218595.7712898
2024-03-23 18:29:56.026689,FA:A5:6E:E8:3D:9C,-64,1711218596.026716
2024-03-23 18:29:56.081517,EE:93:45:01:28:95,-70,1711218596.0815442
2024-03-23 18:29:56.160186,D7:AB:60:ED:B3:66,-62,1711218596.1602142
-,-,-,-
2024-03-23 18:29:56.397681,F3:B0:D4:A4:42:E0,-61,1711218596.397705
2024-03-23 18:29:56.688241,E4:02:B8:34:EC:F3,-48,1711218596.6882687
2024-03-23 18:29:56.779117,E9:71:D6:A6:52:19,-57,1711218596.7791436
2024-03-23 18:29:56.865612,FA:A5:6E:E8:3D:9C,-67,1711218596.8656385
-,-,-,-
2024-03-23 18:29:57.159242,EE:93:45:01:28:95,-67,1711218597.1592693
2024-03-23 18:29:57.162514,D7:AB:60:ED:B3:66,-65,1711218597.1625404
2024-03-23 18:29:57.404987,F3:B0:D4:A4:42:E0,-52,1711218597.4050102
2024-03-23 18:29:57.788221,E9:71:D6:A6:52:19,-67,1711218597.7882488
-,-,-,-
