datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 18:01:49.361158,D7:AB:60:ED:B3:66,-52,1711216909.361169
2024-03-23 18:01:49.361158,E9:71:D6:A6:52:19,-60,1711216909.361169
2024-03-23 18:01:49.361158,F3:B0:D4:A4:42:E0,-62,1711216909.361169
2024-03-23 18:01:49.966068,D7:AB:60:ED:B3:66,-48,1711216909.9660778
2024-03-23 18:01:49.966068,FA:A5:6E:E8:3D:9C,-56,1711216909.9660778
2024-03-23 18:01:49.966068,E4:02:B8:34:EC:F3,-64,1711216909.9660778
2024-03-23 18:01:50.632660,E9:71:D6:A6:52:19,-63,1711216910.6326742
2024-03-23 18:01:50.632660,E4:02:B8:34:EC:F3,-65,1711216910.6326742
2024-03-23 18:01:50.632660,F3:B0:D4:A4:42:E0,-66,1711216910.6326742
2024-03-23 18:01:51.347446,D7:AB:60:ED:B3:66,-56,1711216911.3474658
2024-03-23 18:01:51.347446,F3:B0:D4:A4:42:E0,-63,1711216911.3474658
2024-03-23 18:01:51.347446,E9:71:D6:A6:52:19,-70,1711216911.3474658
2024-03-23 18:01:51.974293,D7:AB:60:ED:B3:66,-44,1711216911.9743123
2024-03-23 18:01:51.974293,E4:02:B8:34:EC:F3,-62,1711216911.9743123
2024-03-23 18:01:51.974293,FA:A5:6E:E8:3D:9C,-67,1711216911.9743123
2024-03-23 18:01:52.641028,FA:A5:6E:E8:3D:9C,-57,1711216912.6410477
2024-03-23 18:01:52.641028,E9:71:D6:A6:52:19,-60,1711216912.6410477
2024-03-23 18:01:52.641028,F3:B0:D4:A4:42:E0,-66,1711216912.6410477
2024-03-23 18:01:53.321232,D7:AB:60:ED:B3:66,-53,1711216913.3212514
2024-03-23 18:01:53.321232,F3:B0:D4:A4:42:E0,-61,1711216913.3212514
2024-03-23 18:01:53.321232,EE:93:45:01:28:95,-74,1711216913.3212514
2024-03-23 18:01:53.790164,E9:71:D6:A6:52:19,-60,1711216913.7901857
2024-03-23 18:01:53.790164,FA:A5:6E:E8:3D:9C,-68,1711216913.7901857
2024-03-23 18:01:53.790164,EE:93:45:01:28:95,-69,1711216913.7901857
2024-03-23 18:01:54.364519,D7:AB:60:ED:B3:66,-54,1711216914.36454
2024-03-23 18:01:54.364519,F3:B0:D4:A4:42:E0,-62,1711216914.36454
2024-03-23 18:01:54.364519,E9:71:D6:A6:52:19,-68,1711216914.36454
2024-03-23 18:01:55.368327,FA:A5:6E:E8:3D:9C,-52,1711216915.3683476
2024-03-23 18:01:55.368327,E9:71:D6:A6:52:19,-65,1711216915.3683476
2024-03-23 18:01:55.368327,E4:02:B8:34:EC:F3,-72,1711216915.3683476
2024-03-23 18:01:55.921239,D7:AB:60:ED:B3:66,-61,1711216915.9212625
2024-03-23 18:01:55.921239,FA:A5:6E:E8:3D:9C,-67,1711216915.9212625
2024-03-23 18:01:55.921239,E4:02:B8:34:EC:F3,-72,1711216915.9212625
2024-03-23 18:01:56.661036,E4:02:B8:34:EC:F3,-61,1711216916.6610591
2024-03-23 18:01:56.661036,F3:B0:D4:A4:42:E0,-65,1711216916.6610591
2024-03-23 18:01:56.661036,E9:71:D6:A6:52:19,-66,1711216916.6610591
2024-03-23 18:01:57.374581,F3:B0:D4:A4:42:E0,-54,1711216917.3746014
2024-03-23 18:01:57.374581,D7:AB:60:ED:B3:66,-65,1711216917.3746014
2024-03-23 18:01:57.374581,C0:11:E6:96:20:A0,-65,1711216917.3746014
2024-03-23 18:01:57.924460,E4:02:B8:34:EC:F3,-62,1711216917.9244807
2024-03-23 18:01:57.924460,FA:A5:6E:E8:3D:9C,-63,1711216917.9244807
2024-03-23 18:01:57.924460,EE:93:45:01:28:95,-74,1711216917.9244807
2024-03-23 18:01:58.674365,F3:B0:D4:A4:42:E0,-59,1711216918.6743925
2024-03-23 18:01:58.674365,E9:71:D6:A6:52:19,-62,1711216918.6743925
2024-03-23 18:01:58.674365,FA:A5:6E:E8:3D:9C,-62,1711216918.6743925
2024-03-23 18:01:59.350161,F3:B0:D4:A4:42:E0,-52,1711216919.350182
2024-03-23 18:01:59.350161,C0:11:E6:96:20:A0,-69,1711216919.350182
2024-03-23 18:01:59.350161,D7:AB:60:ED:B3:66,-73,1711216919.350182
2024-03-23 18:01:59.931020,E9:71:D6:A6:52:19,-63,1711216919.9310405
2024-03-23 18:01:59.931020,FA:A5:6E:E8:3D:9C,-63,1711216919.9310405
2024-03-23 18:01:59.931020,D7:AB:60:ED:B3:66,-69,1711216919.9310405
2024-03-23 18:02:00.684184,F3:B0:D4:A4:42:E0,-41,1711216920.684207
2024-03-23 18:02:00.684184,E9:71:D6:A6:52:19,-62,1711216920.684207
2024-03-23 18:02:00.684184,FA:A5:6E:E8:3D:9C,-63,1711216920.684207
