datetime_utc,address,rssi,timestamp_in_seconds
2024-03-02 17:57:22.506024,E4:02:B8:34:EC:F3,-59,1709402242.506046
2024-03-02 17:57:22.506024,E9:71:D6:A6:52:19,-60,1709402242.506046
2024-03-02 17:57:22.506024,FA:A5:6E:E8:3D:9C,-74,1709402242.506046
2024-03-02 17:57:24.244008,FA:A5:6E:E8:3D:9C,-62,1709402244.2440293
2024-03-02 17:57:24.244008,E9:71:D6:A6:52:19,-68,1709402244.2440293
2024-03-02 17:57:24.244008,E4:02:B8:34:EC:F3,-69,1709402244.2440293
2024-03-02 17:57:25.244903,FA:A5:6E:E8:3D:9C,-63,1709402245.2449255
2024-03-02 17:57:25.244903,E4:02:B8:34:EC:F3,-63,1709402245.2449255
2024-03-02 17:57:25.244903,E9:71:D6:A6:52:19,-74,1709402245.2449255
2024-03-02 17:57:26.247753,E9:71:D6:A6:52:19,-62,1709402246.2477758
2024-03-02 17:57:26.247753,FA:A5:6E:E8:3D:9C,-64,1709402246.2477758
2024-03-02 17:57:26.247753,E4:02:B8:34:EC:F3,-64,1709402246.2477758
2024-03-02 17:57:27.251036,E4:02:B8:34:EC:F3,-59,1709402247.251058
2024-03-02 17:57:27.251036,E9:71:D6:A6:52:19,-62,1709402247.251058
2024-03-02 17:57:27.251036,FA:A5:6E:E8:3D:9C,-68,1709402247.251058
2024-03-02 17:57:29.106854,E4:02:B8:34:EC:F3,-46,1709402249.1068785
2024-03-02 17:57:29.106854,FA:A5:6E:E8:3D:9C,-67,1709402249.1068785
2024-03-02 17:57:29.106854,E9:71:D6:A6:52:19,-68,1709402249.1068785
2024-03-02 17:57:30.109174,E4:02:B8:34:EC:F3,-43,1709402250.1091948
2024-03-02 17:57:30.109174,FA:A5:6E:E8:3D:9C,-63,1709402250.1091948
2024-03-02 17:57:30.109174,E9:71:D6:A6:52:19,-66,1709402250.1091948
2024-03-02 17:57:32.118626,E4:02:B8:34:EC:F3,-58,1709402252.1186495
2024-03-02 17:57:32.118626,E9:71:D6:A6:52:19,-67,1709402252.1186495
2024-03-02 17:57:32.118626,FA:A5:6E:E8:3D:9C,-70,1709402252.1186495
2024-03-02 17:57:33.125729,E4:02:B8:34:EC:F3,-48,1709402253.1257513
2024-03-02 17:57:33.125729,FA:A5:6E:E8:3D:9C,-68,1709402253.1257513
2024-03-02 17:57:33.125729,E9:71:D6:A6:52:19,-69,1709402253.1257513
2024-03-02 17:57:34.130802,E4:02:B8:34:EC:F3,-51,1709402254.130825
2024-03-02 17:57:34.130802,FA:A5:6E:E8:3D:9C,-67,1709402254.130825
2024-03-02 17:57:34.130802,E9:71:D6:A6:52:19,-72,1709402254.130825
2024-03-02 17:57:35.132839,E4:02:B8:34:EC:F3,-51,1709402255.132862
