datetime_utc,address,rssi,timestamp_in_seconds
2024-03-23 18:29:51.106963,F3:B0:D4:A4:42:E0,-62,1711218591.106974
2024-03-23 18:29:51.106963,E4:02:B8:34:EC:F3,-51,1711218591.106974
2024-03-23 18:29:51.106963,E9:71:D6:A6:52:19,-59,1711218591.106974
2024-03-23 18:29:51.106963,EE:93:45:01:28:95,-68,1711218591.106974
2024-03-23 18:29:51.839382,F3:B0:D4:A4:42:E0,-56,1711218591.8393986
2024-03-23 18:29:51.839382,E4:02:B8:34:EC:F3,-48,1711218591.8393986
2024-03-23 18:29:51.839382,E9:71:D6:A6:52:19,-64,1711218591.8393986
2024-03-23 18:29:51.839382,FA:A5:6E:E8:3D:9C,-66,1711218591.8393986
2024-03-23 18:29:52.756873,EE:93:45:01:28:95,-70,1711218592.7568932
2024-03-23 18:29:52.756873,D7:AB:60:ED:B3:66,-63,1711218592.7568932
2024-03-23 18:29:52.756873,E4:02:B8:34:EC:F3,-51,1711218592.7568932
2024-03-23 18:29:52.756873,E9:71:D6:A6:52:19,-70,1711218592.7568932
2024-03-23 18:29:53.392507,FA:A5:6E:E8:3D:9C,-63,1711218593.3925283
2024-03-23 18:29:53.392507,EE:93:45:01:28:95,-66,1711218593.3925283
2024-03-23 18:29:53.392507,D7:AB:60:ED:B3:66,-69,1711218593.3925283
2024-03-23 18:29:53.392507,F3:B0:D4:A4:42:E0,-70,1711218593.3925283
2024-03-23 18:29:54.076459,E4:02:B8:34:EC:F3,-48,1711218594.0764802
2024-03-23 18:29:54.076459,E9:71:D6:A6:52:19,-58,1711218594.0764802
2024-03-23 18:29:54.076459,FA:A5:6E:E8:3D:9C,-64,1711218594.0764802
2024-03-23 18:29:54.076459,EE:93:45:01:28:95,-80,1711218594.0764802
2024-03-23 18:29:54.852881,F3:B0:D4:A4:42:E0,-71,1711218594.852899
2024-03-23 18:29:54.852881,E4:02:B8:34:EC:F3,-56,1711218594.852899
2024-03-23 18:29:54.852881,E9:71:D6:A6:52:19,-68,1711218594.852899
2024-03-23 18:29:54.852881,FA:A5:6E:E8:3D:9C,-71,1711218594.852899
2024-03-23 18:29:55.689697,EE:93:45:01:28:95,-68,1711218595.6897173
2024-03-23 18:29:55.689697,D7:AB:60:ED:B3:66,-62,1711218595.6897173
2024-03-23 18:29:55.689697,F3:B0:D4:A4:42:E0,-64,1711218595.6897173
2024-03-23 18:29:55.689697,E4:02:B8:34:EC:F3,-58,1711218595.6897173
2024-03-23 18:29:56.161460,E9:71:D6:A6:52:19,-53,1711218596.1614792
2024-03-23 18:29:56.161460,FA:A5:6E:E8:3D:9C,-64,1711218596.1614792
2024-03-23 18:29:56.161460,EE:93:45:01:28:95,-70,1711218596.1614792
2024-03-23 18:29:56.161460,D7:AB:60:ED:B3:66,-62,1711218596.1614792
2024-03-23 18:29:56.866961,F3:B0:D4:A4:42:E0,-61,1711218596.8669832
2024-03-23 18:29:56.866961,E4:02:B8:34:EC:F3,-48,1711218596.8669832
2024-03-23 18:29:56.866961,E9:71:D6:A6:52:19,-57,1711218596.8669832
2024-03-23 18:29:56.866961,FA:A5:6E:E8:3D:9C,-67,1711218596.8669832
2024-03-23 18:29:57.789517,EE:93:45:01:28:95,-67,1711218597.7895372
2024-03-23 18:29:57.789517,D7:AB:60:ED:B3:66,-65,1711218597.7895372
2024-03-23 18:29:57.789517,F3:B0:D4:A4:42:E0,-52,1711218597.7895372
2024-03-23 18:29:57.789517,E9:71:D6:A6:52:19,-67,1711218597.7895372
2024-03-23 18:29:58.403601,FA:A5:6E:E8:3D:9C,-71,1711218598.403623
2024-03-23 18:29:58.403601,EE:93:45:01:28:95,-68,1711218598.403623
2024-03-23 18:29:58.403601,D7:AB:60:ED:B3:66,-68,1711218598.403623
2024-03-23 18:29:58.403601,F3:B0:D4:A4:42:E0,-59,1711218598.403623
2024-03-23 18:29:59.101469,E4:02:B8:34:EC:F3,-51,1711218599.1014886
2024-03-23 18:29:59.101469,E9:71:D6:A6:52:19,-51,1711218599.1014886
2024-03-23 18:29:59.101469,FA:A5:6E:E8:3D:9C,-70,1711218599.1014886
2024-03-23 18:29:59.101469,EE:93:45:01:28:95,-67,1711218599.1014886
2024-03-23 18:29:59.877480,D7:AB:60:ED:B3:66,-60,1711218599.8774996
2024-03-23 18:29:59.877480,F3:B0:D4:A4:42:E0,-65,1711218599.8774996
2024-03-23 18:29:59.877480,E4:02:B8:34:EC:F3,-54,1711218599.8774996
2024-03-23 18:29:59.877480,FA:A5:6E:E8:3D:9C,-65,1711218599.8774996
2024-03-23 18:30:00.876189,EE:93:45:01:28:95,-79,1711218600.876207
